subject;set;nBlocksTotal;age;sex;handedness;visionImpairment;block;trial;nObjects;nTargets;o1marked;o2marked;o3marked;o4marked;o5marked;o6marked;o7marked;o8marked;sumCorrect;fps;monitorScalingFa
14;1;5;15;m;d;s;0;0;8;4;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;4.0;60;1.0
14;1;5;15;m;d;s;0;1;8;4;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;3.0;60;1.0
14;1;5;15;m;d;s;0;2;8;4;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;3.0;60;1.0
14;1;5;15;m;d;s;0;3;8;4;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;60;1.0
14;1;5;15;m;d;s;0;4;8;4;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;2.0;60;1.0
14;1;5;15;m;d;s;0;5;8;4;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;3.0;60;1.0
14;1;5;15;m;d;s;0;6;8;4;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;4.0;60;1.0
14;1;5;15;m;d;s;0;7;8;4;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;2.0;60;1.0
14;1;5;15;m;d;s;0;8;8;4;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;4.0;60;1.0
14;1;5;15;m;d;s;0;9;8;4;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;2.0;60;1.0
14;1;5;15;m;d;s;1;0;8;4;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;4.0;60;1.0
14;1;5;15;m;d;s;1;1;8;4;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;3.0;60;1.0
14;1;5;15;m;d;s;1;2;8;4;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;3.0;60;1.0
14;1;5;15;m;d;s;1;3;8;4;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;4.0;60;1.0
14;1;5;15;m;d;s;1;4;8;4;0.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;3.0;60;1.0
14;1;5;15;m;d;s;1;5;8;4;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;2.0;60;1.0
14;1;5;15;m;d;s;1;6;8;4;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;2.0;60;1.0
14;1;5;15;m;d;s;1;7;8;4;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;2.0;60;1.0
14;1;5;15;m;d;s;1;8;8;4;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;3.0;60;1.0
14;1;5;15;m;d;s;1;9;8;4;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;3.0;60;1.0
14;1;5;15;m;d;s;2;0;8;4;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;3.0;60;1.0
14;1;5;15;m;d;s;2;1;8;4;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;3.0;60;1.0
14;1;5;15;m;d;s;2;2;8;4;1.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;2.0;60;1.0
14;1;5;15;m;d;s;2;3;8;4;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;4.0;60;1.0
14;1;5;15;m;d;s;2;4;8;4;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;4.0;60;1.0
14;1;5;15;m;d;s;2;5;8;4;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;4.0;60;1.0
14;1;5;15;m;d;s;2;6;8;4;0.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;3.0;60;1.0
14;1;5;15;m;d;s;2;7;8;4;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;4.0;60;1.0
14;1;5;15;m;d;s;2;8;8;4;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;2.0;60;1.0
14;1;5;15;m;d;s;2;9;8;4;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;3.0;60;1.0
14;1;5;15;m;d;s;3;0;8;4;0.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;3.0;60;1.0
14;1;5;15;m;d;s;3;1;8;4;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;3.0;60;1.0
14;1;5;15;m;d;s;3;2;8;4;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;3.0;60;1.0
14;1;5;15;m;d;s;3;3;8;4;0.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;3.0;60;1.0
14;1;5;15;m;d;s;3;4;8;4;0.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;2.0;60;1.0
14;1;5;15;m;d;s;3;5;8;4;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;4.0;60;1.0
14;1;5;15;m;d;s;3;6;8;4;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;4.0;60;1.0
