subnum,direction,type,trialnum,trialstart,length,stim,resp,numcorr,nummiss,allcorr,time
14,1,P,-1,32373,3,135,135,3,0,1,3479
14,1,P,-2,41358,3,248,248,3,0,1,2590
14,1,P,-3,49454,3,679,679,3,0,1,2669
14,1,T,1,58481,2,85,85,2,0,1,2451
14,1,T,2,65438,2,64,64,2,0,1,2389
14,1,T,3,73334,3,472,472,3,0,1,2502
14,1,T,4,81342,3,815,815,3,0,1,2877
14,1,T,5,90725,4,3417,3417,4,0,1,3638
14,1,T,6,100869,4,6158,6158,4,0,1,3071
14,1,T,7,111446,5,52186,52186,5,0,1,3669
14,1,T,8,122621,5,42731,42713,3,2,0,3960
14,1,T,9,135086,6,392487,934287,2,4,0,4333
14,1,T,10,147924,6,378294,378254,5,1,0,4007
