subnum,direction,type,trialnum,order,trialstart,itemstart,itemend,abstime,rt,posx,posy
22,1,P,-1,1,47521,49025,1504,1503,1,803,495
22,1,P,-1,2,47521,49991,2470,712,3,953,390
22,1,P,-1,3,47521,50975,3454,728,5,833,300
22,1,P,-2,1,57619,58456,837,837,2,503,465
22,1,P,-2,2,57619,59008,1389,297,4,623,360
22,1,P,-2,3,57619,59692,2073,429,8,638,90
22,1,P,-3,1,66286,67142,856,856,6,998,210
22,1,P,-3,2,66286,68196,1910,799,7,458,180
22,1,P,-3,3,66286,69019,2733,568,9,818,120
22,1,T,1,1,77617,79076,1459,1459,8,638,90
22,1,T,1,2,77617,79945,2328,614,5,833,300
22,1,T,2,1,85549,86535,986,986,6,998,210
22,1,T,2,2,85549,87574,2025,784,4,623,360
22,1,T,3,1,94221,95023,802,802,4,623,360
22,1,T,3,2,94221,96181,1960,903,7,458,180
22,1,T,3,3,94221,97088,2867,653,2,503,465
22,1,T,4,1,103585,104724,1139,1139,8,638,90
22,1,T,4,2,103585,106194,2609,1215,1,803,495
22,1,T,4,3,103585,106895,3310,449,5,833,300
22,1,T,5,1,115037,115753,716,716,3,953,390
22,1,T,5,2,115037,117063,2026,1057,4,623,360
22,1,T,5,3,115037,117961,2924,642,1,803,495
22,1,T,5,4,115037,118821,3784,604,7,458,180
22,1,T,6,1,126983,127973,990,989,6,998,210
22,1,T,6,2,126983,128834,1851,606,1,803,495
22,1,T,6,3,126983,129566,2583,479,5,833,300
22,1,T,6,4,126983,130259,3276,438,8,638,90
22,1,T,7,1,140254,141495,1241,1241,5,833,300
22,1,T,7,2,140254,142968,2714,1218,2,503,465
22,1,T,7,3,140254,143833,3579,612,1,803,495
22,1,T,7,4,140254,145556,5302,1467,8,638,90
22,1,T,7,5,140254,146471,6217,661,6,998,210
22,1,T,8,1,155179,155870,691,691,4,623,360
22,1,T,8,2,155179,156488,1309,363,2,503,465
22,1,T,8,3,155179,157228,2049,486,7,458,180
22,1,T,8,4,155179,158679,3500,1196,3,953,390
22,1,T,8,5,155179,159434,4255,501,1,803,495
22,1,T,9,1,168751,169849,1098,1098,3,953,390
22,1,T,9,2,168751,170811,2060,707,9,818,120
22,1,T,9,3,168751,172105,3354,1039,2,503,465
22,1,T,9,4,168751,172940,4189,581,8,638,90
22,1,T,9,5,168751,173701,4950,508,7,458,180
22,1,T,10,1,183744,185024,1280,1280,3,953,390
22,1,T,10,2,183744,187100,3356,1821,7,458,180
22,1,T,10,3,183744,188100,4356,745,8,638,90
22,1,T,10,4,183744,189113,5369,760,2,503,465
22,1,T,10,5,183744,190399,6655,1031,4,623,360
22,1,T,10,6,183744,192507,8763,1854,9,818,120
22,1,P,-1,1,55134,57180,2046,2046,1,803,495
22,1,P,-1,2,55134,58682,3548,1249,5,833,300
22,1,P,-1,3,55134,59803,4669,866,5,833,300
22,1,P,-2,1,66365,67469,1104,1103,2,503,465
22,1,P,-2,2,66365,67938,1573,215,4,623,360
22,1,P,-2,3,66365,68615,2250,422,8,638,90
22,1,P,-3,1,75070,75882,812,812,6,998,210
22,1,P,-3,2,75070,76449,1379,313,7,458,180
22,1,P,-3,3,75070,77239,2169,536,9,818,120
22,1,T,1,1,84105,85047,942,942,8,638,90
22,1,T,1,2,84105,85604,1499,303,5,833,300
22,1,T,2,1,90897,91952,1055,1055,6,998,210
22,1,T,2,2,90897,92691,1794,485,4,623,360
22,1,T,3,1,99056,99500,444,444,4,623,360
22,1,T,3,2,99056,99984,928,229,7,458,180
22,1,T,3,3,99056,100564,1508,326,2,503,465
22,1,T,4,1,106891,108327,1436,1436,8,638,90
22,1,T,4,2,106891,108965,2074,383,1,803,495
22,1,T,4,3,106891,109625,2734,406,5,833,300
22,1,T,5,1,117022,117947,925,924,3,953,390
22,1,T,5,2,117022,118659,1637,457,4,623,360
22,1,T,5,3,117022,119233,2211,320,1,803,495
22,1,T,5,4,117022,119760,2738,274,7,458,180
22,1,T,6,1,127317,128416,1099,1099,6,998,210
22,1,T,6,2,127317,129000,1683,329,1,803,495
22,1,T,6,3,127317,129442,2125,188,5,833,300
22,1,T,6,4,127317,129959,2642,263,8,638,90
22,1,T,7,1,138329,139146,817,816,5,833,300
22,1,T,7,2,138329,139804,1475,403,2,503,465
22,1,T,7,3,138329,140757,2428,698,1,803,495
22,1,T,7,4,138329,141320,2991,308,8,638,90
22,1,T,7,5,138329,141841,3512,266,6,998,210
22,1,T,8,1,150507,151322,815,815,4,623,360
22,1,T,8,2,150507,151876,1369,300,2,503,465
22,1,T,8,3,150507,152616,2109,486,7,458,180
22,1,T,8,4,150507,153403,2896,534,3,953,390
22,1,T,8,5,150507,153894,3387,237,1,803,495
22,1,T,9,1,163057,164036,979,979,3,953,390
22,1,T,9,2,163057,164631,1574,341,9,818,120
22,1,T,9,3,163057,165254,2197,368,2,503,465
22,1,T,9,4,163057,165683,2626,174,4,623,360
22,1,T,9,5,163057,166264,3207,326,8,638,90
22,1,T,9,6,163057,166729,3672,210,7,458,180
22,1,T,10,1,176264,177235,971,970,3,953,390
22,1,T,10,2,176264,177976,1712,485,8,638,90
22,1,T,10,3,176264,178708,2444,478,2,503,465
22,1,T,10,4,176264,179328,3064,364,7,458,180
22,1,T,10,5,176264,179900,3636,318,4,623,360
22,1,T,11,1,190309,190834,525,525,5,833,300
22,1,T,11,2,190309,191270,961,180,9,818,120
22,1,T,11,3,190309,191998,1689,473,1,803,495
22,1,T,11,4,190309,192768,2459,516,7,458,180
22,1,T,11,5,190309,193461,3152,439,4,623,360
22,1,T,11,6,190309,193887,3578,172,2,503,465
22,1,T,11,7,190309,194376,4067,234,8,638,90
22,1,T,12,1,204849,205706,857,856,5,833,300
22,1,T,12,2,204849,206153,1304,194,9,818,120
22,1,T,12,3,204849,206907,2058,500,3,953,390
22,1,T,12,4,204849,207672,2823,512,7,458,180
22,1,T,12,5,204849,208224,3375,298,8,638,90
22,1,T,12,6,204849,208820,3971,342,2,503,465
22,1,T,12,7,204849,209578,4729,504,4,623,360
22,1,T,12,8,204849,210306,5457,474,5,833,300
22,1,T,13,1,221505,222403,898,897,5,833,300
22,1,T,13,2,221505,223039,1534,381,8,638,90
22,1,T,13,3,221505,223820,2315,527,2,503,465
22,1,T,13,4,221505,224502,2997,429,9,818,120
22,1,T,13,5,221505,225032,3527,276,6,998,210
22,1,T,13,6,221505,225675,4170,389,4,623,360
22,1,T,13,7,221505,226328,4823,399,7,458,180
