subnum,direction,type,trialnum,trialstart,length,stim,resp,numcorr,nummiss,allcorr,time
22,1,P,-1,47521,3,135,135,3,0,1,4573
22,1,P,-2,57619,3,248,248,3,0,1,3139
22,1,P,-3,66286,3,679,679,3,0,1,4350
22,1,T,1,77617,2,85,85,2,0,1,3402
22,1,T,2,85549,2,64,64,2,0,1,3144
22,1,T,3,94221,3,472,472,3,0,1,3833
22,1,T,4,103585,3,815,815,3,0,1,4916
22,1,T,5,115037,4,3417,3417,4,0,1,5416
22,1,T,6,126983,4,6158,6158,4,0,1,5735
22,1,T,7,140254,5,52186,52186,5,0,1,7391
22,1,T,8,155179,5,42731,42731,5,0,1,5026
22,1,T,9,168751,6,392487,39287,3,3,0,6454
22,1,T,10,183744,6,378294,378249,4,2,0,10413
22,1,P,-1,55134,3,135,155,2,1,0,5699
22,1,P,-2,66365,3,248,248,3,0,1,3171
22,1,P,-3,75070,3,679,679,3,0,1,3204
22,1,T,1,84105,2,85,85,2,0,1,2263
22,1,T,2,90897,2,64,64,2,0,1,2623
22,1,T,3,99056,3,472,472,3,0,1,2305
22,1,T,4,106891,3,815,815,3,0,1,3597
22,1,T,5,117022,4,3417,3417,4,0,1,3762
22,1,T,6,127317,4,6158,6158,4,0,1,3477
22,1,T,7,138329,5,52186,52186,5,0,1,4640
22,1,T,8,150507,5,42731,42731,5,0,1,4007
22,1,T,9,163057,6,392487,392487,6,0,1,4666
22,1,T,10,176264,6,378294,38274,1,5,0,4497
22,1,T,11,190309,7,5917428,5917428,7,0,1,4997
22,1,T,12,204849,7,5792846,59378245,2,6,0,6112
22,1,T,13,221505,8,58192647,5829647,3,5,0,5904
22,1,T,14,237961,8,59367243,59637243,6,2,0,5882
