subnum,direction,type,trialnum,order,trialstart,itemstart,itemend,abstime,rt,posx,posy
19,1,P,-1,1,79641,81610,1969,1969,1,803,495
19,1,P,-1,2,79641,83004,3363,1140,3,953,390
19,1,P,-1,3,79641,84093,4452,834,5,833,300
19,1,P,-2,1,90843,92266,1423,1423,4,623,360
19,1,P,-2,2,90843,93049,2206,528,2,503,465
19,1,P,-2,3,90843,94004,3161,700,8,638,90
19,1,P,-3,1,100929,102693,1764,1763,6,998,210
19,1,P,-3,2,100929,104181,3252,1232,7,458,180
19,1,P,-3,3,100929,105386,4457,949,9,818,120
19,1,T,1,1,119201,120844,1643,1642,8,638,90
19,1,T,1,2,119201,122031,2830,932,5,833,300
19,1,T,2,1,127838,129757,1919,1919,6,998,210
19,1,T,2,2,127838,130930,3092,913,4,623,360
19,1,T,3,1,138005,138943,938,937,4,623,360
19,1,T,3,2,138005,139773,1768,576,7,458,180
19,1,T,3,3,138005,140636,2631,609,2,503,465
19,1,T,4,1,147411,148659,1248,1247,8,638,90
19,1,T,4,2,147411,149972,2561,1058,1,803,495
19,1,T,4,3,147411,150887,3476,659,5,833,300
19,1,T,5,1,159067,160283,1216,1215,3,953,390
19,1,T,5,2,159067,161137,2070,599,4,623,360
19,1,T,5,3,159067,161780,2713,387,1,803,495
19,1,T,5,4,159067,162972,3905,936,7,458,180
19,1,T,6,1,171141,172541,1400,1399,6,998,210
19,1,T,6,2,171141,173556,2415,760,1,803,495
19,1,T,6,3,171141,174253,3112,442,5,833,300
19,1,T,6,4,171141,175101,3960,592,8,638,90
19,1,T,7,1,184625,185905,1280,1279,5,833,300
19,1,T,7,2,184625,187147,2522,987,2,503,465
19,1,T,7,3,184625,188367,3742,965,1,803,495
19,1,T,7,4,184625,189572,4947,949,8,638,90
19,1,T,7,5,184625,190685,6060,858,6,998,210
19,1,T,8,1,199724,200825,1101,1100,4,623,360
19,1,T,8,2,199724,201805,2081,726,2,503,465
19,1,T,8,3,199724,202718,2994,658,7,458,180
19,1,T,8,4,199724,203796,4072,823,3,953,390
19,1,T,8,5,199724,204463,4739,411,1,803,495
19,1,T,9,1,214435,218066,3631,3630,9,818,120
19,1,T,9,2,214435,219156,4721,837,3,953,390
19,1,T,9,3,214435,219933,5498,523,4,623,360
19,1,T,9,4,214435,220821,6386,632,2,503,465
19,1,T,9,5,214435,221715,7280,638,7,458,180
19,1,T,9,6,214435,223059,8624,1089,8,638,90
19,1,T,10,1,232754,234626,1872,1872,3,953,390
19,1,T,10,2,232754,235729,2975,847,2,503,465
19,1,T,10,3,232754,236934,4180,949,7,458,180
19,1,T,10,4,232754,240417,7663,3228,9,818,120
19,1,T,10,5,232754,241073,8319,402,4,623,360
