subnum,direction,type,trialnum,trialstart,length,stim,resp,numcorr,nummiss,allcorr,time
19,1,P,-1,79641,3,135,135,3,0,1,5661
19,1,P,-2,90843,3,248,428,1,2,0,4556
19,1,P,-3,100929,3,679,679,3,0,1,5686
19,1,T,1,119201,2,85,85,2,0,1,4099
19,1,T,2,127838,2,64,64,2,0,1,4627
19,1,T,3,138005,3,472,472,3,0,1,3864
19,1,T,4,147411,3,815,815,3,0,1,5107
19,1,T,5,159067,4,3417,3417,4,0,1,5536
19,1,T,6,171141,4,6158,6158,4,0,1,5936
19,1,T,7,184625,5,52186,52186,5,0,1,7549
19,1,T,8,199724,5,42731,42731,5,0,1,6164
19,1,T,9,214435,6,392487,934278,0,6,0,9771
19,1,T,10,232754,6,378294,32794,1,5,0,9555
