subnum,direction,type,trialnum,order,trialstart,itemstart,itemend,abstime,rt,posx,posy
15,1,P,-1,1,30458,31433,975,974,1,803,495
15,1,P,-1,2,30458,32232,1774,549,3,953,390
15,1,P,-1,3,30458,32809,2351,327,5,833,300
15,1,P,-2,1,39082,39746,664,664,2,503,465
15,1,P,-2,2,39082,40192,1110,196,4,623,360
15,1,P,-2,3,39082,40825,1743,382,8,638,90
15,1,P,-3,1,47236,48064,828,828,6,998,210
15,1,P,-3,2,47236,48857,1621,542,7,458,180
15,1,P,-3,3,47236,49600,2364,492,9,818,120
15,1,T,1,1,62920,64424,1504,1504,8,638,90
15,1,T,1,2,62920,64913,1993,238,5,833,300
15,1,T,2,1,70246,71136,890,890,6,998,210
15,1,T,2,2,70246,71953,1707,566,4,623,360
15,1,T,3,1,78462,79016,554,554,4,623,360
15,1,T,3,2,78462,79496,1034,229,7,458,180
15,1,T,3,3,78462,79946,1484,200,2,503,465
15,1,T,4,1,85989,86865,876,876,8,638,90
15,1,T,4,2,85989,87529,1540,413,1,803,495
15,1,T,4,3,85989,88320,2331,541,5,833,300
15,1,T,5,1,96077,97032,955,955,3,953,390
15,1,T,5,2,96077,97881,1804,598,4,623,360
15,1,T,5,3,96077,98353,2276,221,1,803,495
15,1,T,5,4,96077,99064,2987,461,7,458,180
15,1,T,6,1,106661,107616,955,955,6,998,210
15,1,T,6,2,106661,108401,1740,535,1,803,495
15,1,T,6,3,106661,108914,2253,263,5,833,300
15,1,T,6,4,106661,109488,2827,324,8,638,90
15,1,T,7,1,117909,118801,892,892,5,833,300
15,1,T,7,2,117909,119345,1436,293,2,503,465
15,1,T,7,3,117909,119978,2069,383,1,803,495
15,1,T,7,4,117909,120632,2723,404,8,638,90
15,1,T,7,5,117909,121312,3403,430,6,998,210
15,1,T,8,1,130390,131640,1250,1250,4,623,360
15,1,T,8,2,130390,132128,1738,237,2,503,465
15,1,T,8,3,130390,132961,2571,582,7,458,180
15,1,T,8,4,130390,133769,3379,557,3,953,390
15,1,T,8,5,130390,134497,4107,477,1,803,495
15,1,T,9,1,143772,144432,660,660,3,953,390
15,1,T,9,2,143772,144937,1165,255,9,818,120
15,1,T,9,3,143772,145600,1828,413,2,503,465
15,1,T,9,4,143772,146160,2388,310,4,623,360
15,1,T,9,5,143772,146761,2989,351,7,458,180
15,1,T,9,6,143772,147176,3404,165,8,638,90
15,1,T,10,1,156422,157224,802,802,3,953,390
15,1,T,10,2,156422,158065,1643,590,2,503,465
15,1,T,10,3,156422,159705,3283,1390,7,458,180
15,1,T,10,4,156422,160320,3898,364,8,638,90
15,1,T,10,5,156422,161000,4578,430,9,818,120
15,1,T,10,6,156422,161472,5050,222,4,623,360
