subnum,direction,type,trialnum,trialstart,length,stim,resp,numcorr,nummiss,allcorr,time
15,1,P,-1,30458,3,135,135,3,0,1,3118
15,1,P,-2,39082,3,248,248,3,0,1,2648
15,1,P,-3,47236,3,679,679,3,0,1,3212
15,1,T,1,62920,2,85,85,2,0,1,2818
15,1,T,2,70246,2,64,64,2,0,1,2708
15,1,T,3,78462,3,472,472,3,0,1,2019
15,1,T,4,85989,3,815,815,3,0,1,3580
15,1,T,5,96077,4,3417,3417,4,0,1,4076
15,1,T,6,106661,4,6158,6158,4,0,1,3740
15,1,T,7,117909,5,52186,52186,5,0,1,4974
15,1,T,8,130390,5,42731,42731,5,0,1,4875
15,1,T,9,143772,6,392487,392478,4,2,0,4143
15,1,T,10,156422,6,378294,327894,3,3,0,5819
