subnum,direction,type,trialnum,order,trialstart,itemstart,itemend,abstime,rt,posx,posy
4d,1,P,-1,1,27343,28911,1568,1568,1,803,495
4d,1,P,-1,2,27343,29380,2037,214,3,953,390
4d,1,P,-1,3,27343,29804,2461,171,5,833,300
4d,1,P,-1,4,27343,31934,4591,1877,1,803,495
4d,1,P,-1,5,27343,32493,5150,305,3,953,390
4d,1,P,-1,6,27343,33685,6342,939,5,833,300
4d,1,P,-2,1,40849,41873,1024,1024,8,638,90
4d,1,P,-2,2,40849,42548,1699,420,4,623,360
4d,1,P,-2,3,40849,43013,2164,211,2,503,465
4d,1,P,-2,4,40849,46990,6141,3723,2,503,465
4d,1,P,-2,5,40849,47565,6716,321,4,623,360
4d,1,P,-2,6,40849,48226,7377,407,8,638,90
4d,1,P,-3,1,56418,57706,1288,1287,7,458,180
4d,1,P,-3,2,56418,58681,2263,721,9,818,120
4d,1,P,-3,3,56418,59203,2785,269,6,998,210
4d,1,P,-3,4,56418,63970,7552,4513,6,998,210
4d,1,P,-3,5,56418,64511,8093,285,9,818,120
4d,1,P,-3,6,56418,66163,9745,1398,7,458,180
4d,1,T,1,1,88241,90090,1849,1849,8,638,90
4d,1,T,1,2,88241,90716,2475,372,5,833,300
4d,1,T,2,1,95995,97058,1063,1063,6,998,210
4d,1,T,2,2,95995,98220,2225,906,4,623,360
4d,1,T,3,1,105161,106037,876,876,4,623,360
4d,1,T,3,2,105161,106665,1504,374,7,458,180
4d,1,T,3,3,105161,107414,2253,494,2,503,465
4d,1,T,4,1,113440,114144,704,704,8,638,90
4d,1,T,4,2,113440,115093,1653,694,1,803,495
4d,1,T,4,3,113440,115458,2018,108,5,833,300
4d,1,T,5,1,123021,124238,1217,1217,3,953,390
4d,1,T,5,2,123021,124885,1864,393,4,623,360
4d,1,T,5,3,123021,125343,2322,205,1,803,495
4d,1,T,5,4,123021,126115,3094,517,7,458,180
4d,1,T,6,1,133606,134531,925,925,6,998,210
4d,1,T,6,2,133606,135190,1584,404,1,803,495
4d,1,T,6,3,133606,135621,2015,177,5,833,300
4d,1,T,6,4,133606,136513,2907,638,8,638,90
4d,1,T,7,1,145413,146211,798,798,5,833,300
4d,1,T,7,2,145413,146942,1529,476,2,503,465
4d,1,T,7,3,145413,147638,2225,441,1,803,495
4d,1,T,7,4,145413,148352,2939,460,8,638,90
4d,1,T,7,5,145413,148978,3565,370,6,998,210
4d,1,T,8,1,157352,158127,775,775,2,503,465
4d,1,T,8,2,157352,158508,1156,126,4,623,360
4d,1,T,8,3,157352,159025,1673,261,7,458,180
4d,1,T,8,4,157352,159869,2517,589,3,953,390
4d,1,T,8,5,157352,160584,3232,462,1,803,495
4d,1,T,9,1,170348,171188,840,839,3,953,390
4d,1,T,9,2,170348,171840,1492,398,9,818,120
4d,1,T,9,3,170348,172528,2180,433,2,503,465
4d,1,T,9,4,170348,173084,2736,301,4,623,360
4d,1,T,9,5,170348,173794,3446,457,7,458,180
4d,1,T,10,1,183670,184877,1207,1207,3,953,390
4d,1,T,10,2,183670,186137,2467,1006,8,638,90
4d,1,T,10,3,183670,186546,2876,153,7,458,180
4d,1,T,10,4,183670,187054,3384,254,2,503,465
4d,1,T,10,5,183670,188257,4587,948,9,818,120
4d,1,T,10,6,183670,188932,5262,419,4,623,360
