subnum,direction,type,trialnum,trialstart,length,stim,resp,numcorr,nummiss,allcorr,time
4d,1,P,-1,27343,3,135,135135,3,3,0,7970
4d,1,P,-2,40849,3,248,842248,1,5,0,10041
4d,1,P,-3,56418,3,679,796697,0,6,0,10474
4d,1,T,1,88241,2,85,85,2,0,1,3225
4d,1,T,2,95995,2,64,64,2,0,1,3630
4d,1,T,3,105161,3,472,472,3,0,1,2744
4d,1,T,4,113440,3,815,815,3,0,1,3043
4d,1,T,5,123021,4,3417,3417,4,0,1,4045
4d,1,T,6,133606,4,6158,6158,4,0,1,4267
4d,1,T,7,145413,5,52186,52186,5,0,1,4397
4d,1,T,8,157352,5,42731,24731,3,2,0,4451
4d,1,T,9,170348,6,392487,39247,4,2,0,4781
4d,1,T,10,183670,6,378294,387294,4,2,0,5806
