subnum,direction,type,trialnum,order,trialstart,itemstart,itemend,abstime,rt,posx,posy
15,1,P,-1,1,61102,62967,1865,1865,1,803,495
15,1,P,-1,2,61102,63493,2391,275,3,953,390
15,1,P,-1,3,61102,63998,2896,255,5,833,300
15,1,P,-2,1,70352,71189,837,837,2,503,465
15,1,P,-2,2,70352,71661,1309,221,4,623,360
15,1,P,-2,3,70352,72149,1797,237,8,638,90
15,1,P,-3,1,78761,79966,1205,1205,6,998,210
15,1,P,-3,2,78761,80653,1892,437,7,458,180
15,1,P,-3,3,78761,81229,2468,326,9,818,120
15,1,T,1,1,91925,92773,848,848,8,638,90
15,1,T,1,2,91925,93437,1512,414,5,833,300
15,1,T,2,1,98681,99565,884,884,6,998,210
15,1,T,2,2,98681,100165,1484,350,4,623,360
15,1,T,3,1,106513,107285,772,772,4,623,360
15,1,T,3,2,106513,107893,1380,357,7,458,180
15,1,T,3,3,106513,108606,2093,462,2,503,465
15,1,T,4,1,114818,115525,707,707,8,638,90
15,1,T,4,2,114818,116085,1267,310,1,803,495
15,1,T,4,3,114818,116541,1723,206,5,833,300
15,1,T,5,1,123754,124573,819,819,3,953,390
15,1,T,5,2,123754,125157,1403,333,4,623,360
15,1,T,5,3,123754,125766,2012,358,1,803,495
15,1,T,5,4,123754,126565,2811,549,7,458,180
15,1,T,6,1,133994,135205,1211,1211,6,998,210
15,1,T,6,2,133994,136006,2012,550,1,803,495
15,1,T,6,3,133994,136685,2691,429,5,833,300
15,1,T,6,4,133994,137373,3379,437,8,638,90
15,1,T,7,1,146050,146589,539,539,5,833,300
15,1,T,7,2,146050,147453,1403,613,2,503,465
15,1,T,7,3,146050,148053,2003,349,1,803,495
15,1,T,7,4,146050,148710,2660,407,8,638,90
15,1,T,7,5,146050,149366,3316,406,6,998,210
15,1,T,8,1,157865,158742,877,877,4,623,360
15,1,T,8,2,157865,159405,1540,413,2,503,465
15,1,T,8,3,157865,159950,2085,295,7,458,180
15,1,T,8,4,157865,160589,2724,388,3,953,390
15,1,T,8,5,157865,161190,3325,350,1,803,495
15,1,T,9,1,170298,171253,955,955,3,953,390
15,1,T,9,2,170298,172325,2027,821,9,818,120
15,1,T,9,3,170298,173230,2932,655,2,503,465
15,1,T,9,4,170298,173966,3668,486,4,623,360
15,1,T,9,5,170298,174637,4339,421,8,638,90
15,1,T,9,6,170298,175205,4907,317,7,458,180
15,1,T,10,1,184617,185390,773,773,3,953,390
15,1,T,10,2,184617,186405,1788,765,7,458,180
15,1,T,10,3,184617,187109,2492,453,8,638,90
15,1,T,10,4,184617,187870,3253,510,2,503,465
15,1,T,10,5,184617,189741,5124,1621,4,623,360
15,1,T,10,6,184617,190629,6012,637,9,818,120
15,1,T,11,1,201088,201773,685,685,5,833,300
15,1,T,11,2,201088,202341,1253,317,9,818,120
15,1,T,11,3,201088,203214,2126,622,1,803,495
15,1,T,11,4,201088,204053,2965,589,7,458,180
15,1,T,11,5,201088,204773,3685,470,4,623,360
15,1,T,11,6,201088,205302,4214,279,2,503,465
15,1,T,11,7,201088,205982,4894,430,8,638,90
15,1,T,12,1,216330,216950,620,620,5,833,300
15,1,T,12,2,216330,217717,1387,517,7,458,180
15,1,T,12,3,216330,218573,2243,605,9,818,120
15,1,T,12,4,216330,219382,3052,559,2,503,465
15,1,T,12,5,216330,220325,3995,692,8,638,90
15,1,T,12,6,216330,221845,5515,1269,6,998,210
15,1,T,13,1,233210,234053,843,843,5,833,300
15,1,T,13,2,233210,234821,1611,517,8,638,90
15,1,T,13,3,233210,235550,2340,478,1,803,495
15,1,T,13,4,233210,236149,2939,349,9,818,120
15,1,T,13,5,233210,236910,3700,510,2,503,465
15,1,T,13,6,233210,237581,4371,421,6,998,210
15,1,T,13,7,233210,238333,5123,501,4,623,360
15,1,T,13,8,233210,238821,5611,237,7,458,180
15,1,T,14,1,250082,250813,731,731,5,833,300
15,1,T,14,2,250082,251517,1435,453,9,818,120
15,1,T,14,3,250082,252213,2131,446,3,953,390
15,1,T,14,4,250082,252773,2691,310,6,998,210
15,1,T,14,5,250082,254782,4700,1759,4,623,360
15,1,T,14,6,250082,255493,5411,461,2,503,465
15,1,T,14,7,250082,256430,6348,687,3,953,390
15,1,T,15,1,269160,269813,653,653,5,833,300
15,1,T,15,2,269160,270342,1182,278,3,953,390
15,1,T,15,3,269160,270974,1814,382,7,458,180
15,1,T,15,4,269160,271613,2453,388,8,638,90
15,1,T,15,5,269160,272422,3262,559,2,503,465
15,1,T,15,6,269160,273365,4205,692,6,998,210
15,1,T,15,7,269160,273958,4798,343,9,818,120
15,1,T,16,1,286145,286669,524,524,4,623,360
15,1,T,16,2,286145,287350,1205,430,2,503,465
15,1,T,16,3,286145,288069,1924,469,6,998,210
15,1,T,16,4,286145,288813,2668,494,8,638,90
15,1,T,16,5,286145,289421,3276,357,7,458,180
15,1,T,16,6,286145,290222,4077,550,1,803,495
15,1,T,16,7,286145,290822,4677,350,5,833,300
