subnum,direction,type,trialnum,trialstart,length,stim,resp,numcorr,nummiss,allcorr,time
15,1,P,-1,61102,3,135,135,3,0,1,3744
15,1,P,-2,70352,3,248,248,3,0,1,2902
15,1,P,-3,78761,3,679,679,3,0,1,3413
15,1,T,1,91925,2,85,85,2,0,1,2249
15,1,T,2,98681,2,64,64,2,0,1,2325
15,1,T,3,106513,3,472,472,3,0,1,2797
15,1,T,4,114818,3,815,815,3,0,1,2428
15,1,T,5,123754,4,3417,3417,4,0,1,3733
15,1,T,6,133994,4,6158,6158,4,0,1,4549
15,1,T,7,146050,5,52186,52186,5,0,1,4309
15,1,T,8,157865,5,42731,42731,5,0,1,3925
15,1,T,9,170298,6,392487,392487,6,0,1,5811
15,1,T,10,184617,6,378294,378249,4,2,0,6964
15,1,T,11,201088,7,5917428,5917428,7,0,1,5735
15,1,T,12,216330,7,5792846,579286,5,2,0,6372
15,1,T,13,233210,8,58192647,58192647,8,0,1,6365
15,1,T,14,250082,8,59367243,5936423,5,3,0,7572
15,1,T,15,269160,9,538712469,5378269,2,7,0,5478
15,1,T,16,286145,9,426817935,4268715,4,5,0,5445
