subnum,block,type,correctresponse,trial,choice,x,y,stim,present,response,responded,corr,starttime,rt
15,0,practice,P,1,2,783,284,R,0,NONE,0,1,22619,1454
15,0,practice,P,2,3,583,484,P,1,528|71|1|<pressed>,1,1,24119,809
15,0,practice,P,3,3,583,484,P,1,527|69|1|<pressed>,1,1,25615,835
15,0,practice,P,4,2,783,284,P,1,529|72|1|<pressed>,1,1,27117,790
15,0,practice,P,5,1,583,284,P,1,529|71|1|<pressed>,1,1,28618,470
15,0,practice,P,6,1,583,284,P,1,531|71|1|<pressed>,1,1,30120,455
15,0,practice,P,7,3,583,484,P,1,531|72|1|<pressed>,1,1,31619,598
15,0,practice,P,8,3,583,484,P,1,537|84|1|<pressed>,1,1,33118,540
15,0,practice,P,9,1,583,284,R,0,NONE,0,1,34619,1452
15,0,practice,P,10,1,583,284,P,1,542|101|1|<pressed>,1,1,36117,534
15,1,test,P,1,2,783,284,P,1,459|141|1|<pressed>,1,1,42452,750
15,1,test,P,2,2,783,284,P,1,503|119|1|<pressed>,1,1,43954,488
15,1,test,P,3,4,783,484,P,1,518|118|1|<pressed>,1,1,45454,483
15,1,test,P,4,1,583,284,R,0,515|120|1|<pressed>,1,0,46955,470
15,1,test,P,5,2,783,284,P,1,514|120|1|<pressed>,1,1,48454,627
15,1,test,P,6,3,583,484,P,1,514|122|1|<pressed>,1,1,49956,413
15,1,test,P,7,4,783,484,R,0,NONE,0,1,51455,1453
15,1,test,P,8,4,783,484,P,1,515|122|1|<pressed>,1,1,52955,454
15,1,test,P,9,4,783,484,P,1,515|122|1|<pressed>,1,1,54453,459
15,1,test,P,10,1,583,284,P,1,514|121|1|<pressed>,1,1,55953,472
15,1,test,P,11,1,583,284,P,1,514|131|1|<pressed>,1,1,57452,520
15,1,test,P,12,1,583,284,P,1,507|65|1|<pressed>,1,1,58953,417
15,1,test,P,13,3,583,484,P,1,514|68|1|<pressed>,1,1,60455,562
15,1,test,P,14,2,783,284,P,1,514|65|1|<pressed>,1,1,61954,462
15,1,test,P,15,1,583,284,P,1,507|59|1|<pressed>,1,1,63454,518
15,1,test,P,16,4,783,484,P,1,502|58|1|<pressed>,1,1,64955,543
15,1,test,P,17,2,783,284,P,1,502|54|1|<pressed>,1,1,66454,634
15,1,test,P,18,2,783,284,P,1,498|53|1|<pressed>,1,1,67957,611
15,1,test,P,19,2,783,284,P,1,501|45|1|<pressed>,1,1,69455,378
15,1,test,P,20,2,783,284,R,0,NONE,0,1,70956,1451
15,1,test,P,21,2,783,284,P,1,507|41|1|<pressed>,1,1,72455,466
15,1,test,P,22,3,583,484,P,1,511|39|1|<pressed>,1,1,73957,435
15,1,test,P,23,1,583,284,P,1,512|39|1|<pressed>,1,1,75455,609
15,1,test,P,24,4,783,484,P,1,512|37|1|<pressed>,1,1,76955,404
15,1,test,P,25,3,583,484,P,1,512|36|1|<pressed>,1,1,78452,444
15,1,test,P,26,3,583,484,R,0,514|35|1|<pressed>,1,0,79955,350
15,1,test,P,27,4,783,484,P,1,542|36|1|<pressed>,1,1,81456,442
15,1,test,P,28,2,783,284,P,1,612|71|1|<pressed>,1,1,82954,566
15,1,test,P,29,4,783,484,P,1,601|68|1|<pressed>,1,1,84453,452
15,1,test,P,30,1,583,284,P,1,595|64|1|<pressed>,1,1,85953,439
15,1,test,P,31,2,783,284,P,1,592|67|1|<pressed>,1,1,87453,499
15,1,test,P,32,3,583,484,R,0,NONE,0,1,88954,1452
15,1,test,P,33,2,783,284,R,0,NONE,0,1,90452,1454
15,1,test,P,34,1,583,284,P,1,583|66|1|<pressed>,1,1,91954,382
15,1,test,P,35,2,783,284,P,1,629|65|1|<pressed>,1,1,93451,439
15,1,test,P,36,3,583,484,P,1,642|64|1|<pressed>,1,1,94952,545
15,1,test,P,37,4,783,484,P,1,629|70|1|<pressed>,1,1,96456,443
15,1,test,P,38,3,583,484,P,1,624|71|1|<pressed>,1,1,97953,519
15,1,test,P,39,3,583,484,P,1,625|70|1|<pressed>,1,1,99456,560
15,1,test,P,40,1,583,284,P,1,624|72|1|<pressed>,1,1,100954,438
15,1,test,P,41,4,783,484,P,1,610|82|1|<pressed>,1,1,102454,460
15,1,test,P,42,3,583,484,P,1,612|81|1|<pressed>,1,1,103953,495
15,1,test,P,43,2,783,284,P,1,610|87|1|<pressed>,1,1,105452,438
15,1,test,P,44,3,583,484,R,0,NONE,0,1,106953,1454
15,1,test,P,45,3,583,484,P,1,606|81|1|<pressed>,1,1,108453,486
15,1,test,P,46,4,783,484,P,1,589|71|1|<pressed>,1,1,109954,447
15,1,test,P,47,4,783,484,P,1,590|77|1|<pressed>,1,1,111456,439
15,1,test,P,48,2,783,284,P,1,591|81|1|<pressed>,1,1,112954,520
15,1,test,P,49,1,583,284,P,1,588|70|1|<pressed>,1,1,114454,444
15,1,test,P,50,2,783,284,P,1,604|58|1|<pressed>,1,1,115954,399
15,1,test,P,51,2,783,284,P,1,614|52|1|<pressed>,1,1,117453,435
15,1,test,P,52,2,783,284,R,0,NONE,0,1,118956,1453
15,1,test,P,53,3,583,484,P,1,627|54|1|<pressed>,1,1,120453,461
15,1,test,P,54,2,783,284,P,1,627|53|1|<pressed>,1,1,121956,429
15,1,test,P,55,2,783,284,P,1,636|57|1|<pressed>,1,1,123455,363
15,1,test,P,56,2,783,284,P,1,628|55|1|<pressed>,1,1,124954,390
15,1,test,P,57,2,783,284,P,1,628|58|1|<pressed>,1,1,126454,587
15,1,test,P,58,3,583,484,P,1,632|56|1|<pressed>,1,1,127954,560
15,1,test,P,59,4,783,484,P,1,623|62|1|<pressed>,1,1,129455,530
15,1,test,P,60,4,783,484,P,1,626|59|1|<pressed>,1,1,130951,441
15,1,test,P,61,1,583,284,P,1,625|61|1|<pressed>,1,1,132456,498
15,1,test,P,62,4,783,484,P,1,629|53|1|<pressed>,1,1,133952,671
15,1,test,P,63,4,783,484,R,0,NONE,0,1,135454,1452
