subnum,block,type,correctresponse,trial,choice,x,y,stim,present,response,responded,corr,starttime,rt
19,0,practice,P,1,1,583,284,P,1,NONE,0,0,20417,1453
19,0,practice,P,2,3,583,484,P,1,NONE,0,0,22919,1454
19,0,practice,P,3,4,783,484,P,1,486|382|1|<pressed>,1,1,25420,455
19,0,practice,P,4,4,783,484,P,1,498|398|1|<released>,1,1,25908,174
19,0,practice,P,5,2,783,284,P,1,498|398|1|<pressed>,1,1,26415,531
19,0,practice,P,6,4,783,484,R,0,NONE,0,1,27917,1454
19,0,practice,P,7,4,783,484,P,1,498|398|1|<pressed>,1,1,29417,472
19,0,practice,P,8,4,783,484,R,0,NONE,0,1,30919,1454
19,0,practice,P,9,3,583,484,P,1,500|397|1|<pressed>,1,1,32416,402
19,0,practice,P,10,4,783,484,P,1,484|396|1|<pressed>,1,1,33918,419
19,1,test,P,1,1,583,284,P,1,NONE,0,0,46595,1453
19,1,test,P,2,4,783,484,P,1,NONE,0,0,48097,1453
19,1,test,P,3,1,583,284,P,1,NONE,0,0,49598,1454
19,1,test,P,4,3,583,484,P,1,721|167|1|<pressed>,1,1,51101,557
19,1,test,P,5,2,783,284,P,1,720|167|1|<pressed>,1,1,52597,253
19,1,test,P,6,3,583,484,P,1,710|161|1|<pressed>,1,1,54099,261
19,1,test,P,7,1,583,284,P,1,710|161|1|<pressed>,1,1,55599,291
19,1,test,P,8,2,783,284,P,1,710|162|1|<pressed>,1,1,57098,248
19,1,test,P,9,3,583,484,P,1,710|161|1|<pressed>,1,1,58598,258
19,1,test,P,10,2,783,284,P,1,710|161|1|<pressed>,1,1,60100,69
19,1,test,P,11,1,583,284,P,1,710|161|1|<pressed>,1,1,61597,341
19,1,test,P,12,4,783,484,P,1,710|160|1|<pressed>,1,1,63095,410
19,1,test,P,13,1,583,284,P,1,710|156|1|<pressed>,1,1,64600,336
19,1,test,P,14,1,583,284,R,0,710|156|1|<pressed>,1,0,66098,359
19,1,test,P,15,3,583,484,P,1,710|156|1|<pressed>,1,1,67597,459
19,1,test,P,16,1,583,284,P,1,710|156|1|<pressed>,1,1,69099,447
19,1,test,P,17,4,783,484,R,0,710|156|1|<pressed>,1,0,70597,397
19,1,test,P,18,3,583,484,P,1,NONE,0,0,72098,1452
19,1,test,P,19,1,583,284,R,0,NONE,0,1,73598,1452
19,1,test,P,20,4,783,484,P,1,672|173|1|<pressed>,1,1,75098,343
19,1,test,P,21,1,583,284,P,1,670|172|1|<pressed>,1,1,76598,435
19,1,test,P,22,1,583,284,P,1,670|172|1|<pressed>,1,1,78098,694
19,1,test,P,23,4,783,484,P,1,670|172|1|<pressed>,1,1,79599,518
19,1,test,P,24,4,783,484,P,1,670|172|1|<pressed>,1,1,81099,519
19,1,test,P,25,4,783,484,P,1,670|172|1|<pressed>,1,1,82597,341
19,1,test,P,26,4,783,484,P,1,670|172|1|<pressed>,1,1,84100,349
19,1,test,P,27,3,583,484,P,1,670|172|1|<pressed>,1,1,85599,474
19,1,test,P,28,1,583,284,P,1,670|172|1|<pressed>,1,1,87098,391
19,1,test,P,29,1,583,284,P,1,670|172|1|<pressed>,1,1,88599,426
19,1,test,P,30,2,783,284,P,1,670|172|1|<pressed>,1,1,90100,470
19,1,test,P,31,1,583,284,P,1,670|172|1|<pressed>,1,1,91600,296
19,1,test,P,32,4,783,484,R,0,670|172|1|<pressed>,1,0,93098,416
19,1,test,P,33,2,783,284,P,1,NONE,0,0,94599,1452
19,1,test,P,34,2,783,284,P,1,644|183|1|<pressed>,1,1,96098,289
19,1,test,P,35,3,583,484,P,1,644|185|1|<pressed>,1,1,97598,520
19,1,test,P,36,1,583,284,P,1,644|185|1|<pressed>,1,1,99097,432
19,1,test,P,37,1,583,284,P,1,643|181|1|<pressed>,1,1,100599,458
19,1,test,P,38,3,583,484,P,1,643|181|1|<pressed>,1,1,102096,424
19,1,test,P,39,1,583,284,P,1,643|179|1|<pressed>,1,1,103598,314
19,1,test,P,40,4,783,484,P,1,NONE,0,0,105098,1454
19,1,test,P,41,2,783,284,P,1,643|179|1|<pressed>,1,1,106597,427
19,1,test,P,42,3,583,484,P,1,643|179|1|<pressed>,1,1,108098,422
19,1,test,P,43,2,783,284,R,0,645|177|1|<pressed>,1,0,109597,428
19,1,test,P,44,2,783,284,P,1,NONE,0,0,111097,1453
19,1,test,P,45,4,783,484,P,1,NONE,0,0,112599,1453
19,1,test,P,46,4,783,484,P,1,645|177|1|<pressed>,1,1,114098,422
19,1,test,P,47,3,583,484,P,1,645|177|1|<pressed>,1,1,115599,385
19,1,test,P,48,2,783,284,R,0,NONE,0,1,117097,1452
19,1,test,P,49,4,783,484,R,0,NONE,0,1,118597,1454
19,1,test,P,50,3,583,484,R,0,NONE,0,1,120101,1454
19,1,test,P,51,4,783,484,P,1,NONE,0,0,121597,1453
19,1,test,P,52,3,583,484,P,1,645|177|1|<pressed>,1,1,123100,468
19,1,test,P,53,1,583,284,P,1,645|177|1|<pressed>,1,1,124599,377
19,1,test,P,54,4,783,484,P,1,NONE,0,0,126098,1453
19,1,test,P,55,1,583,284,P,1,646|176|1|<pressed>,1,1,127599,356
19,1,test,P,56,4,783,484,P,1,NONE,0,0,129096,1453
19,1,test,P,57,2,783,284,P,1,614|201|1|<pressed>,1,1,130597,403
19,1,test,P,58,4,783,484,P,1,NONE,0,0,132099,1452
19,1,test,P,59,4,783,484,P,1,NONE,0,0,133600,1453
19,1,test,P,60,1,583,284,P,1,619|151|1|<pressed>,1,1,135096,464
