subnum,block,type,correctresponse,trial,choice,x,y,stim,present,response,responded,corr,starttime,rt
15,0,practice,P,1,1,583,284,P,1,NONE,0,0,45503,1450
15,0,practice,P,2,2,783,284,P,1,931|172|1|<pressed>,1,1,47966,460
15,0,practice,P,3,1,583,284,P,1,948|170|1|<released>,1,1,48502,43
15,0,practice,P,4,4,783,484,P,1,943|168|1|<pressed>,1,1,50001,441
15,0,practice,P,5,4,783,484,R,0,NONE,0,1,51502,1450
15,0,practice,P,6,2,783,284,P,1,943|167|1|<pressed>,1,1,53000,338
15,0,practice,P,7,4,783,484,P,1,952|165|1|<pressed>,1,1,54502,436
15,0,practice,P,8,2,783,284,R,0,NONE,0,1,56001,1450
15,0,practice,P,9,1,583,284,P,1,952|165|1|<pressed>,1,1,57502,332
15,0,practice,P,10,3,583,484,P,1,952|165|1|<pressed>,1,1,59001,465
15,1,test,P,1,2,783,284,P,1,426|699|1|<pressed>,1,1,73702,460
15,1,test,P,2,1,583,284,P,1,422|699|1|<pressed>,1,1,75201,569
15,1,test,P,3,1,583,284,R,0,422|699|1|<pressed>,1,0,76701,373
15,1,test,P,4,1,583,284,P,1,422|699|1|<pressed>,1,1,78201,265
15,1,test,P,5,2,783,284,P,1,405|699|1|<pressed>,1,1,79701,356
15,1,test,P,6,1,583,284,P,1,405|699|1|<pressed>,1,1,81202,240
15,1,test,P,7,4,783,484,P,1,405|699|1|<pressed>,1,1,82701,253
15,1,test,P,8,3,583,484,P,1,405|699|1|<pressed>,1,1,84202,344
15,1,test,P,9,1,583,284,P,1,405|699|1|<pressed>,1,1,85701,308
15,1,test,P,10,1,583,284,P,1,405|699|1|<pressed>,1,1,87202,320
15,1,test,P,11,2,783,284,R,0,405|699|1|<pressed>,1,0,88701,277
15,1,test,P,12,2,783,284,P,1,405|699|1|<pressed>,1,1,90202,16
15,1,test,P,13,3,583,484,P,1,405|699|1|<pressed>,1,1,91701,356
15,1,test,P,14,4,783,484,P,1,405|699|1|<pressed>,1,1,93202,304
15,1,test,P,15,3,583,484,P,1,405|699|1|<pressed>,1,1,94701,316
15,1,test,P,16,2,783,284,P,1,405|699|1|<pressed>,1,1,96202,304
15,1,test,P,17,2,783,284,P,1,405|699|1|<pressed>,1,1,97701,405
15,1,test,P,18,1,583,284,P,1,403|699|1|<pressed>,1,1,99201,289
15,1,test,P,19,3,583,484,R,0,403|699|1|<pressed>,1,0,100701,324
15,1,test,P,20,2,783,284,P,1,403|699|1|<pressed>,1,1,102202,336
15,1,test,P,21,1,583,284,P,1,403|699|1|<pressed>,1,1,103700,398
15,1,test,P,22,1,583,284,R,0,403|699|1|<pressed>,1,0,105201,369
15,1,test,P,23,2,783,284,P,1,403|700|1|<pressed>,1,1,106701,340
15,1,test,P,24,2,783,284,P,1,403|700|1|<pressed>,1,1,108202,424
15,1,test,P,25,1,583,284,R,0,NONE,0,1,109701,1450
15,1,test,P,26,2,783,284,P,1,403|700|1|<pressed>,1,1,111201,281
15,1,test,P,27,2,783,284,P,1,NONE,0,0,112701,1450
15,1,test,P,28,3,583,484,R,0,403|700|1|<pressed>,1,0,114201,313
15,1,test,P,29,4,783,484,P,1,435|703|3|<pressed>,1,1,115701,445
15,1,test,P,30,1,583,284,P,1,404|699|1|<pressed>,1,1,117201,321
15,1,test,P,31,2,783,284,P,1,394|691|1|<pressed>,1,1,118701,316
15,1,test,P,32,2,783,284,P,1,394|691|1|<pressed>,1,1,120202,328
15,1,test,P,33,1,583,284,P,1,394|691|1|<pressed>,1,1,121701,293
15,1,test,P,34,2,783,284,P,1,394|691|1|<pressed>,1,1,123202,304
15,1,test,P,35,2,783,284,P,1,394|691|1|<pressed>,1,1,124701,324
