subnum,block,type,correctresponse,trial,choice,x,y,stim,present,response,responded,corr,starttime,rt
4d,0,practice,P,1,2,783,284,P,1,NONE,0,0,20669,1452
4d,0,practice,P,2,4,783,484,P,1,NONE,0,0,23153,1453
4d,0,practice,P,3,4,783,484,P,1,NONE,0,0,25639,1452
4d,0,practice,P,4,3,583,484,P,1,NONE,0,0,28123,1452
4d,0,practice,P,5,1,583,284,P,1,NONE,0,0,30607,1453
4d,0,practice,P,6,1,583,284,R,0,NONE,0,1,33092,1453
4d,0,practice,P,7,4,783,484,R,0,NONE,0,1,34558,1452
4d,0,practice,P,8,4,783,484,P,1,NONE,0,0,36023,1452
4d,0,practice,P,9,4,783,484,P,1,NONE,0,0,38508,1452
4d,0,practice,P,10,2,783,284,P,1,14|273|1|<pressed>,1,1,40992,372
4d,1,test,P,1,2,783,284,P,1,NONE,0,0,43561,1452
4d,1,test,P,2,4,783,484,P,1,NONE,0,0,45064,1453
4d,1,test,P,3,1,583,284,P,1,NONE,0,0,46562,1453
4d,1,test,P,4,3,583,484,P,1,NONE,0,0,48065,1452
4d,1,test,P,5,3,583,484,R,0,NONE,0,1,49563,1452
4d,1,test,P,6,2,783,284,P,1,NONE,0,0,51065,1452
4d,1,test,P,7,2,783,284,P,1,NONE,0,0,52564,1453
4d,1,test,P,8,1,583,284,P,1,NONE,0,0,54065,1452
4d,1,test,P,9,1,583,284,P,1,659|473|1|<pressed>,1,1,55563,616
4d,1,test,P,10,1,583,284,P,1,648|511|1|<released>,1,1,57062,4
4d,1,test,P,11,4,783,484,P,1,647|548|1|<pressed>,1,1,58564,1302
4d,1,test,P,12,3,583,484,P,1,648|566|1|<pressed>,1,1,60063,571
4d,1,test,P,13,4,783,484,P,1,494|687|3|<pressed>,1,1,61563,72
4d,1,test,P,14,4,783,484,P,1,691|707|1|<pressed>,1,1,63064,307
4d,1,test,P,15,3,583,484,R,0,718|711|3|<pressed>,1,0,64563,407
4d,1,test,P,16,2,783,284,P,1,723|708|3|<pressed>,1,1,66064,282
4d,1,test,P,17,3,583,484,P,1,729|704|1|<pressed>,1,1,67563,264
4d,1,test,P,18,3,583,484,P,1,750|739|1|<pressed>,1,1,69063,363
4d,1,test,P,19,4,783,484,P,1,742|739|1|<pressed>,1,1,70563,288
4d,1,test,P,20,2,783,284,P,1,740|731|1|<pressed>,1,1,72064,363
4d,1,test,P,21,2,783,284,P,1,752|723|1|<pressed>,1,1,73564,319
4d,1,test,P,22,2,783,284,P,1,751|719|1|<pressed>,1,1,75063,340
4d,1,test,P,23,2,783,284,P,1,753|727|1|<pressed>,1,1,76564,271
4d,1,test,P,24,2,783,284,P,1,753|727|1|<pressed>,1,1,78064,266
4d,1,test,P,25,1,583,284,P,1,741|727|1|<pressed>,1,1,79564,310
4d,1,test,P,26,2,783,284,P,1,741|727|1|<pressed>,1,1,81063,404
4d,1,test,P,27,1,583,284,P,1,754|724|1|<pressed>,1,1,82563,344
4d,1,test,P,28,2,783,284,P,1,765|736|1|<pressed>,1,1,84065,314
4d,1,test,P,29,1,583,284,P,1,774|732|1|<pressed>,1,1,85564,399
4d,1,test,P,30,2,783,284,P,1,774|732|1|<pressed>,1,1,87065,321
4d,1,test,P,31,4,783,484,P,1,775|735|1|<pressed>,1,1,88563,383
