subnum,block,type,correctresponse,trial,choice,x,y,stim,present,response,responded,corr,starttime,rt
15,0,practice,P,1,2,783,284,P,1,NONE,0,0,15882,1450
15,0,practice,P,2,4,783,484,P,1,NONE,0,0,18339,1450
15,0,practice,P,3,1,583,284,R,0,NONE,0,1,20796,1450
15,0,practice,P,4,4,783,484,P,1,NONE,0,0,22249,1450
15,0,practice,P,5,2,783,284,P,1,NONE,0,0,24705,1450
15,0,practice,P,6,4,783,484,P,1,NONE,0,0,27162,1450
15,0,practice,P,7,1,583,284,P,1,NONE,0,0,29618,1450
15,0,practice,P,8,3,583,484,P,1,1039|347|1|<pressed>,1,1,32075,694
15,0,practice,P,9,4,783,484,R,0,1039|347|1|<released>,1,0,32771,101
15,0,practice,P,10,2,783,284,P,1,1038|343|1|<pressed>,1,1,33882,550
15,1,test,P,1,3,583,484,P,1,NONE,0,0,39222,1450
15,1,test,P,2,4,783,484,P,1,1307|458|1|<pressed>,1,1,40721,431
15,1,test,P,3,1,583,284,P,1,NONE,0,0,42221,1451
15,1,test,P,4,1,583,284,P,1,NONE,0,0,43721,1450
15,1,test,P,5,3,583,484,P,1,1363|451|1|<pressed>,1,1,45221,388
15,1,test,P,6,1,583,284,P,1,NONE,0,0,46721,1450
15,1,test,P,7,3,583,484,P,1,1213|685|1|<pressed>,1,1,48221,339
15,1,test,P,8,2,783,284,P,1,1251|624|1|<pressed>,1,1,49721,295
15,1,test,P,9,3,583,484,P,1,1251|623|1|<pressed>,1,1,51221,251
15,1,test,P,10,1,583,284,P,1,1251|621|1|<pressed>,1,1,52720,234
15,1,test,P,11,4,783,484,P,1,1251|616|1|<pressed>,1,1,54222,291
15,1,test,P,12,3,583,484,P,1,1251|616|1|<pressed>,1,1,55721,265
15,1,test,P,13,3,583,484,P,1,1251|616|1|<pressed>,1,1,57222,346
15,1,test,P,14,2,783,284,P,1,1251|616|1|<pressed>,1,1,58721,416
15,1,test,P,15,2,783,284,P,1,1251|616|1|<pressed>,1,1,60221,339
15,1,test,P,16,4,783,484,P,1,1251|616|1|<pressed>,1,1,61721,352
15,1,test,P,17,1,583,284,P,1,1256|622|1|<pressed>,1,1,63222,283
15,1,test,P,18,4,783,484,P,1,1255|621|1|<pressed>,1,1,64721,257
15,1,test,P,19,2,783,284,P,1,1255|621|1|<pressed>,1,1,66222,234
15,1,test,P,20,4,783,484,P,1,1255|621|1|<pressed>,1,1,67720,81
15,1,test,P,21,4,783,484,R,0,1255|621|1|<pressed>,1,0,69222,259
15,1,test,P,22,3,583,484,P,1,1255|621|1|<pressed>,1,1,70721,344
15,1,test,P,23,4,783,484,P,1,1255|621|1|<pressed>,1,1,72222,290
15,1,test,P,24,3,583,484,P,1,1255|621|1|<pressed>,1,1,73721,216
15,1,test,P,25,1,583,284,P,1,1255|621|1|<pressed>,1,1,75222,283
15,1,test,P,26,3,583,484,R,0,1255|621|1|<pressed>,1,0,76721,328
