sub,type,distance,studytime,totaltime,mediantime,targs,clicks,acc
21,1,313.559,7485,2856,664,4,5,0.8
21,1,2795.04,1947,14856,576,26,26,1
21,2,517.42,1029,2119,746.5,4,4,1
21,2,2635.05,2417,19112,696,26,26,1
21,1,294.544,827,1704,618,4,4,1
21,1,2916.08,2323,16784,583.5,26,27,0.962963
21,2,313.967,925,1687,658,4,4,1
21,2,2795.04,761,21321,680.5,26,29,0.896552
21,1,529.621,1101,1744,624.5,4,4,1
21,1,2718.88,858,15584,560,26,28,0.928571
21,2,334.779,644,2160,650.5,4,4,1
21,2,2916.08,1633,19040,652,26,28,0.928571
21,1,495.326,1044,2577,934,4,5,0.8
21,1,2433.69,1002,13583,539,26,27,0.962963
21,2,357.352,676,4040,737.5,4,8,0.5
21,2,2433.69,1386,15112,584.5,26,27,0.962963
21,1,371.532,948,1824,684.5,4,4,1
21,1,2635.05,1138,15079,536.5,26,27,0.962963
21,2,371.647,859,2000,592,4,5,0.8
21,2,2718.88,898,16864,556,26,29,0.896552
