subnum,trial,type,clicks,hits,clicktime,posx,posy,corr,id,rt,rt2
22,1P,1,1,1,47137,578,420,1,1,3006,3006
22,1P,1,2,2,48265,686,461,1,2,1128,1128
22,1P,1,3,3,49465,594,312,1,3,1200,1200
22,1P,1,4,4,50409,703,335,1,4,944,944
22,1,1,1,0,58513,1043,168,0,2,3853,3853
22,1,1,2,0,59817,1023,166,0,2,1304,5157
22,1,1,3,0,69729,1046,171,0,2,9912,15069
22,1,1,4,1,81209,698,152,1,1,11480,26549
22,1,1,5,2,83305,1044,173,1,2,2096,2096
22,1,1,6,3,84569,965,270,1,3,1264,1264
22,1,1,7,4,85833,874,345,1,4,1264,1264
22,1,1,8,5,90161,918,504,1,5,4328,4328
22,1,1,9,6,91081,785,526,1,6,920,920
22,1,1,10,7,92041,680,415,1,7,960,960
22,1,1,11,8,92817,660,520,1,8,776,776
22,1,1,12,9,93433,604,617,1,9,616,616
22,1,1,13,10,94065,589,568,1,10,632,632
22,1,1,14,11,94985,520,520,1,11,920,920
22,1,1,15,12,95697,487,616,1,12,712,712
22,1,1,16,13,96321,447,587,1,13,624,624
22,1,1,17,14,97241,361,580,1,14,920,920
22,1,1,18,15,97857,356,527,1,15,616,616
22,1,1,19,16,99097,449,486,1,16,1240,1240
22,1,1,20,17,99865,450,389,1,17,768,768
22,1,1,21,18,101273,555,403,1,18,1408,1408
22,1,1,22,19,101913,493,328,1,19,640,640
22,1,1,23,20,102977,403,286,1,20,1064,1064
22,1,1,24,21,103713,322,269,1,21,736,736
22,1,1,25,22,104305,351,210,1,22,592,592
22,1,1,26,23,104897,385,161,1,23,592,592
22,1,1,27,24,105577,428,237,1,24,680,680
22,1,1,28,25,106617,590,288,1,25,1040,1040
22,1,1,29,26,107449,674,224,1,26,832,832
22,2P,2,1,1,112321,606,441,1,1,3096,3096
22,2P,2,2,1,113721,778,320,0,3,1400,1400
22,2P,2,3,1,115609,625,436,0,1,1888,3288
22,2P,2,4,2,116657,688,456,1,2,1048,4336
22,2P,2,5,2,118129,634,372,0,4,1472,1472
22,2P,2,6,2,118905,628,361,0,4,776,2248
22,2P,2,7,3,119689,780,327,1,3,784,3032
22,2P,2,8,4,120721,625,361,1,4,1032,1032
22,2,2,1,0,128097,319,164,0,2,2452,2452
22,2,2,2,1,129377,673,134,1,1,1280,3732
22,2,2,3,2,130617,336,176,1,2,1240,1240
22,2,2,4,3,132849,386,271,1,3,2232,2232
22,2,2,5,4,133785,496,352,1,4,936,936
22,2,2,6,4,135169,586,518,0,6,1384,1384
22,2,2,7,4,136025,596,531,0,6,856,2240
22,2,2,8,4,137241,490,343,0,4,1216,3456
22,2,2,9,5,138289,476,493,1,5,1048,4504
22,2,2,10,6,139305,590,529,1,6,1016,1016
22,2,2,11,7,142513,691,425,1,7,3208,3208
22,2,2,12,8,144001,706,527,1,8,1488,1488
22,2,2,13,8,146137,765,579,0,10,2136,2136
22,2,2,14,9,146641,766,615,1,9,504,2640
22,2,2,15,10,147161,767,560,1,10,520,520
22,2,2,16,10,148801,878,619,0,12,1640,1640
22,2,2,17,11,149537,840,506,1,11,736,2376
22,2,2,18,12,150817,887,620,1,12,1280,1280
22,2,2,19,12,152001,995,595,0,14,1184,1184
22,2,2,20,13,152633,939,581,1,13,632,1816
22,2,2,21,14,153225,1007,581,1,14,592,592
22,2,2,22,15,155433,1011,535,1,15,2208,2208
22,2,2,23,16,156121,939,491,1,16,688,688
22,2,2,24,16,157345,812,398,0,18,1224,1224
22,2,2,25,17,158681,917,400,1,17,1336,2560
22,2,2,26,18,159385,813,406,1,18,704,704
22,2,2,27,18,161209,951,295,0,20,1824,1824
22,2,2,28,19,162321,872,327,1,19,1112,2936
22,2,2,29,20,163089,949,285,1,20,768,768
22,2,2,30,20,164489,1020,218,0,22,1400,1400
22,2,2,31,21,165049,1027,263,1,21,560,1960
22,2,2,32,22,165609,1021,226,1,22,560,560
22,2,2,33,23,168305,976,154,1,23,2696,2696
22,2,2,34,24,169201,945,233,1,24,896,896
22,2,2,35,24,170777,691,228,0,26,1576,1576
22,2,2,36,25,171977,768,299,1,25,1200,2776
22,2,2,37,26,172841,695,233,1,26,864,864
22,3P,1,1,0,176521,767,331,0,2,2121,2121
22,3P,1,2,1,177569,741,370,1,1,1048,3169
22,3P,1,3,2,178089,754,335,1,2,520,520
22,3P,1,4,3,178737,680,457,1,3,648,648
22,3P,1,5,4,179657,613,295,1,4,920,920
22,3,1,1,0,184025,889,495,0,2,1594,1594
22,3,1,2,1,185289,924,567,1,1,1264,2858
22,3,1,3,2,186057,875,496,1,2,768,768
22,3,1,4,3,186913,1009,422,1,3,856,856
22,3,1,5,4,187673,883,386,1,4,760,760
22,3,1,6,5,188169,817,399,1,5,496,496
22,3,1,7,6,189521,855,342,1,6,1352,1352
22,3,1,8,7,191897,874,249,1,7,2376,2376
22,3,1,9,8,192465,852,188,1,8,568,568
22,3,1,10,9,193121,738,249,1,9,656,656
22,3,1,11,10,193785,742,167,1,10,664,664
22,3,1,12,11,194465,662,153,1,11,680,680
22,3,1,13,12,195417,588,270,1,12,952,952
22,3,1,14,13,196505,503,191,1,13,1088,1088
22,3,1,16,14,197945,401,181,1,14,1440,1440
22,3,1,17,15,199977,381,342,1,15,2032,2032
22,3,1,18,16,201153,489,358,1,16,1176,1176
22,3,1,19,17,201921,342,478,1,17,768,768
22,3,1,20,18,202625,424,539,1,18,704,704
22,3,1,21,19,203193,479,487,1,19,568,568
22,3,1,22,20,203609,535,471,1,20,416,416
22,3,1,23,21,204577,633,473,1,21,968,968
22,3,1,24,22,206217,636,380,1,22,1640,1640
22,3,1,25,23,206945,675,451,1,23,728,728
22,3,1,26,24,207369,694,466,1,24,424,424
22,3,1,27,25,208409,642,607,1,25,1040,1040
22,3,1,28,26,209313,873,546,1,26,904,904
22,4P,2,1,0,211921,631,441,0,2,1744,1744
22,4P,2,2,0,212425,624,438,0,2,504,2248
22,4P,2,3,1,213265,714,455,1,1,840,3088
22,4P,2,4,2,214145,603,431,1,2,880,880
22,4P,2,5,3,215145,644,402,1,3,1000,1000
22,4P,2,7,4,216913,784,398,1,4,1768,1768
22,4,2,1,0,221393,493,498,0,2,1571,1571
22,4,2,2,1,222425,454,548,1,1,1032,2603
22,4,2,3,1,222865,450,560,0,1,440,440
22,4,2,4,2,223441,467,499,1,2,576,1016
22,4,2,5,3,224305,382,428,1,3,864,864
22,4,2,6,4,225129,469,382,1,4,824,824
22,4,2,7,4,226089,512,334,0,6,960,960
22,4,2,8,5,226553,535,385,1,5,464,1424
22,4,2,9,6,227057,513,323,1,6,504,504
22,4,2,10,7,229145,498,261,1,7,2088,2088
22,4,2,11,8,230057,513,196,1,8,912,912
22,4,2,12,8,233105,629,164,0,10,3048,3048
22,4,2,13,9,235377,630,237,1,9,2272,5320
22,4,2,14,10,236857,632,191,1,10,1480,1480
22,4,2,15,10,238241,763,240,0,12,1384,1384
22,4,2,16,11,239073,667,165,1,11,832,2216
22,4,2,17,12,240281,770,248,1,12,1208,1208
22,4,2,18,12,244305,970,203,0,14,4024,4024
22,4,2,19,13,245353,893,207,1,13,1048,5072
22,4,2,20,14,246129,971,189,1,14,776,776
22,4,2,21,15,247385,987,343,1,15,1256,1256
22,4,2,22,16,248505,865,379,1,16,1120,1120
22,4,2,23,17,253065,1012,467,1,17,4560,4560
22,4,2,25,18,255009,921,554,1,18,1944,1944
22,4,2,26,18,257073,714,365,0,22,2064,2064
22,4,2,27,19,258129,888,486,1,19,1056,3120
22,4,2,28,19,259121,735,381,0,22,992,992
22,4,2,29,19,259793,735,381,0,22,672,1664
22,4,2,30,19,260313,729,368,0,22,520,2184
22,4,2,31,20,263081,824,473,1,20,2768,4952
22,4,2,32,21,265273,705,471,1,21,2192,2192
22,4,2,33,22,266049,725,375,1,22,776,776
22,4,2,34,23,268377,684,430,1,23,2328,2328
22,4,2,35,24,269177,656,484,1,24,800,800
22,4,2,36,25,270001,709,605,1,25,824,824
22,4,2,37,26,270945,526,549,1,26,944,944
22,5P,1,1,1,274561,688,323,1,1,2809,2809
22,5P,1,2,2,275353,603,350,1,2,792,792
22,5P,1,3,3,276193,691,470,1,3,840,840
22,5P,1,4,4,276649,705,380,1,4,456,456
22,5,1,1,0,278713,524,425,0,2,1146,1146
22,5,1,2,1,279697,457,389,1,1,984,2130
22,5,1,3,2,280377,513,421,1,2,680,680
22,5,1,4,3,281345,641,386,1,3,968,968
22,5,1,5,4,281993,697,453,1,4,648,648
22,5,1,6,5,282529,727,357,1,5,536,536
22,5,1,8,6,283969,788,318,1,6,1440,1440
22,5,1,9,7,284737,645,161,1,7,768,768
22,5,1,10,8,285369,739,173,1,8,632,632
22,5,1,11,9,286145,940,163,1,9,776,776
22,5,1,12,10,286633,955,209,1,10,488,488
22,5,1,14,11,287745,889,280,1,11,1112,1112
22,5,1,15,12,288553,895,368,1,12,808,808
22,5,1,16,13,289105,933,330,1,13,552,552
22,5,1,17,14,289953,1019,391,1,14,848,848
22,5,1,18,15,293153,991,577,1,15,3200,3200
22,5,1,19,16,294121,880,437,1,16,968,968
22,5,1,20,17,294577,816,515,1,17,456,456
22,5,1,21,18,295137,780,588,1,18,560,560
22,5,1,22,19,295601,673,570,1,19,464,464
22,5,1,23,20,296465,609,602,1,20,864,864
22,5,1,25,21,297561,532,499,1,21,1096,1096
22,5,1,26,22,298273,398,576,1,22,712,712
22,5,1,27,23,298769,373,527,1,23,496,496
22,5,1,28,24,299289,368,444,1,24,520,520
22,5,1,29,25,300449,345,136,1,25,1160,1160
22,5,1,30,26,301049,398,238,1,26,600,600
22,6P,2,2,1,303881,695,363,1,1,2145,2145
22,6P,2,4,2,305145,769,426,1,2,1264,1264
22,6P,2,5,2,305961,641,388,0,4,816,816
22,6P,2,6,3,306625,665,450,1,3,664,1480
22,6P,2,8,4,307545,606,380,1,4,920,920
22,6,2,1,1,310657,825,229,1,1,2257,2257
22,6,2,2,2,311657,719,233,1,2,1000,1000
22,6,2,3,3,312985,655,138,1,3,1328,1328
22,6,2,4,4,313713,610,206,1,4,728,728
22,6,2,5,4,314553,612,296,0,6,840,840
22,6,2,6,5,315017,653,264,1,5,464,1304
22,6,2,7,6,315945,595,301,1,6,928,928
22,6,2,8,7,317241,419,254,1,7,1296,1296
22,6,2,9,8,318281,346,347,1,8,1040,1040
22,6,2,11,9,323345,352,465,1,9,5064,5064
22,6,2,12,10,324217,377,538,1,10,872,872
22,6,2,13,11,324857,438,432,1,11,640,640
22,6,2,14,12,325569,511,488,1,12,712,712
22,6,2,15,12,332409,618,604,0,14,6840,6840
22,6,2,16,13,333705,500,590,1,13,1296,8136
22,6,2,17,14,334433,619,604,1,14,728,728
22,6,2,18,14,337441,811,569,0,18,3008,3008
22,6,2,19,15,339057,586,532,1,15,1616,4624
22,6,2,20,15,339977,812,564,0,18,920,920
22,6,2,21,16,342673,624,432,1,16,2696,3616
22,6,2,22,17,344473,737,443,1,17,1800,1800
22,6,2,23,18,345169,822,562,1,18,696,696
22,6,2,24,19,346481,885,611,1,19,1312,1312
22,6,2,25,20,347201,1006,628,1,20,720,720
22,6,2,26,21,347921,960,579,1,21,720,720
22,6,2,27,22,348705,975,391,1,22,784,784
22,6,2,28,23,350697,936,322,1,23,1992,1992
22,6,2,29,24,351473,845,249,1,24,776,776
22,6,2,30,24,353265,901,144,0,26,1792,1792
22,6,2,32,25,355313,1008,187,1,25,2048,3840
22,6,2,33,26,356105,894,127,1,26,792,792
22,7P,1,1,0,358169,716,436,0,2,1432,1432
