sub,type,distance,studytime,totaltime,mediantime,targs,clicks,acc
22,1,344.575,2902,9320,2095,4,5,0.8
22,1,2662.61,3511,19072,676,26,30,0.866667
22,2,236.604,1480,3768,1171.5,4,4,1
22,2,2418.39,1649,45688,928,26,26,1
22,1,394.177,1168,4097,1048.5,4,6,0.666667
22,1,2904.35,1089,17640,636,26,28,0.928571
22,2,351.683,935,6824,1271.5,4,8,0.5
22,2,2662.61,1090,28448,804,26,26,1
22,1,255.505,1032,2824,980,4,4,1
22,1,2776.82,906,18592,680,26,26,1
22,2,386.463,984,2208,784,4,4,1
22,2,2904.35,1393,26696,864,26,26,1
22,1,242.528,1248,1672,620,4,4,1
22,1,2418.39,1538,17920,668,26,29,0.896552
22,2,326.395,896,2320,832,4,4,1
22,2,2861.31,937,41248,932.5,26,26,1
22,1,293.375,1072,1856,672,4,5,0.8
22,1,2861.31,1263,19328,644,26,29,0.896552
22,2,265.289,952,1656,604,4,4,1
22,2,2776.82,1049,20856,704,26,28,0.928571
