subnum,trial,type,clicks,hits,clicktime,posx,posy,corr,id,rt,rt2
19,1P,1,1,1,44184,604,477,1,1,2854,2854
19,1P,1,2,2,45752,709,316,1,2,1568,1568
19,1P,1,3,3,63641,628,369,1,3,17889,17889
19,1P,1,4,4,64784,729,394,1,4,1143,1143
19,1,1,1,1,73664,964,292,1,1,1926,1926
19,1,1,2,2,74400,1044,190,1,2,736,736
19,1,1,4,3,75681,995,129,1,3,1281,1281
19,1,1,5,4,76496,903,249,1,4,815,815
19,1,1,6,5,77144,783,149,1,5,648,648
19,1,1,8,6,78328,804,258,1,6,1184,1184
19,1,1,9,7,80896,755,374,1,7,2568,2568
19,1,1,10,8,81336,725,322,1,8,440,440
19,1,1,11,9,82056,653,359,1,9,720,720
19,1,1,12,10,82752,600,295,1,10,696,696
19,1,1,13,11,83400,536,231,1,11,648,648
19,1,1,14,12,84016,476,216,1,12,616,616
19,1,1,15,13,84560,410,190,1,13,544,544
19,1,1,16,14,84984,400,256,1,14,424,424
19,1,1,17,15,86256,438,356,1,15,1272,1272
19,1,1,18,16,87104,451,449,1,16,848,848
19,1,1,19,17,88552,547,490,1,17,1448,1448
19,1,1,20,18,89288,528,559,1,18,736,736
19,1,1,21,19,90224,340,592,1,19,936,936
19,1,1,22,20,91184,527,605,1,20,960,960
19,1,1,23,21,92032,606,596,1,21,848,848
19,1,1,25,22,93536,722,570,1,22,1504,1504
19,1,1,26,23,94304,707,504,1,23,768,768
19,1,1,27,24,95312,839,519,1,24,1008,1008
19,1,1,28,25,96304,982,586,1,25,992,992
19,1,1,29,26,97064,1008,525,1,26,760,760
19,2P,2,1,1,113328,668,323,1,1,1452,1452
19,2P,2,2,1,114832,695,377,0,3,1504,1504
19,2P,2,3,1,116136,693,392,0,3,1304,2808
19,2P,2,4,2,117648,578,386,1,2,1512,4320
19,2P,2,5,2,118872,731,332,0,4,1224,1224
19,2P,2,6,2,119400,749,337,0,4,528,1752
19,2P,2,7,3,120480,710,381,1,3,1080,2832
19,2P,2,8,4,121216,737,332,1,4,736,736
19,2,2,1,1,132008,949,323,1,1,1354,1354
19,2,2,2,2,133728,855,314,1,2,1720,1720
19,2,2,3,3,135384,897,221,1,3,1656,1656
19,2,2,4,4,136152,748,143,1,4,768,768
19,2,2,5,5,138440,757,264,1,5,2288,2288
19,2,2,6,5,142304,626,336,0,8,3864,3864
19,2,2,7,5,142960,632,328,0,8,656,4520
19,2,2,8,5,144080,633,334,0,8,1120,5640
19,2,2,9,5,145184,684,381,0,7,1104,6744
19,2,2,10,5,145568,693,397,0,7,384,7128
19,2,2,11,5,153312,629,335,0,8,7744,14872
19,2,2,12,5,153936,629,335,0,8,624,15496
19,2,2,13,5,154888,699,372,0,7,952,16448
19,2,2,14,5,155273,698,386,0,7,385,16833
19,2,2,15,6,155992,769,373,1,6,719,17552
19,2,2,16,7,160184,709,385,1,7,4192,4192
19,2,2,17,8,161264,626,344,1,8,1080,1080
19,2,2,18,9,163480,590,259,1,9,2216,2216
19,2,2,19,10,166992,473,248,1,10,3512,3512
19,2,2,20,11,170736,462,136,1,11,3744,3744
19,2,2,21,12,171520,339,236,1,12,784,784
