sub,type,distance,studytime,totaltime,mediantime,targs,clicks,acc
19,1,369.925,2854,20600,2211,4,4,1
19,1,2573.2,1926,23400,831.5,26,29,0.896552
19,2,253.543,1452,7888,2142,4,8,0.5
19,2,2758.7,1354,65135,1744,26,37,0.702703
19,1,434.285,2646,4264,1244,4,5,0.8
19,1,2982.78,2594,28840,911.5,26,30,0.866667
19,2,318.533,1429,4584,1490.5,4,4,1
19,2,2573.2,1087,29072,1028,26,28,0.928571
19,1,458.65,1821,4672,1366.5,4,4,1
19,1,2622.47,2004,23160,844,26,27,0.962963
19,2,408.143,1823,5648,1823.5,4,5,0.8
19,2,2622.47,1806,32240,1035.5,26,27,0.962963
19,1,332.448,1974,3456,1287,4,5,0.8
19,1,2581.66,981,23240,832,26,29,0.896552
19,2,366.236,2421,2296,920,4,4,1
19,2,2982.78,2294,33823,1132,26,29,0.896552
19,1,269.171,1173,4760,1440,4,6,0.666667
19,1,2758.7,1318,31264,1224,26,33,0.787879
19,2,323.113,1030,2472,799,4,4,1
19,2,2581.66,1332,31343,964,26,28,0.928571
