subnum,trial,type,clicks,hits,clicktime,posx,posy,corr,id,rt,rt2
15,1P,1,1,1,31852,699,397,1,1,2982,2982
15,1P,1,2,2,33171,657,359,1,2,1319,1319
15,1P,1,3,3,33763,655,448,1,3,592,592
15,1P,1,4,4,60555,596,434,1,4,26792,26792
15,1,1,1,1,70379,500,590,1,1,1121,1121
15,1,1,2,2,71171,506,542,1,2,792,792
15,1,1,3,3,72379,479,421,1,3,1208,1208
15,1,1,4,4,73219,384,421,1,4,840,840
15,1,1,5,5,73972,399,261,1,5,753,753
15,1,1,6,6,74892,492,360,1,6,920,920
15,1,1,8,7,76539,556,387,1,7,1647,1647
15,1,1,9,8,77171,672,237,1,8,632,632
15,1,1,10,9,77635,664,185,1,9,464,464
15,1,1,11,10,78163,768,235,1,10,528,528
15,1,1,12,11,78595,843,213,1,11,432,432
15,1,1,13,12,79443,981,148,1,12,848,848
15,1,1,14,13,80035,981,209,1,13,592,592
15,1,1,15,14,80603,936,316,1,14,568,568
15,1,1,17,15,81323,1014,404,1,15,720,720
15,1,1,18,16,81787,984,468,1,16,464,464
15,1,1,19,17,82403,1012,528,1,17,616,616
15,1,1,20,18,82996,965,607,1,18,593,593
15,1,1,21,19,83419,930,581,1,19,423,423
15,1,1,22,20,84035,803,547,1,20,616,616
15,1,1,23,21,84515,834,414,1,21,480,480
15,1,1,24,22,84900,780,384,1,22,385,385
15,1,1,25,23,85523,762,322,1,23,623,623
15,1,1,26,24,86259,627,415,1,24,736,736
15,1,1,27,25,86779,671,481,1,25,520,520
15,1,1,28,26,87147,605,547,1,26,368,368
15,2P,2,1,1,93467,656,444,1,1,1580,1580
15,2P,2,2,2,93972,714,394,1,2,505,505
15,2P,2,3,3,94403,728,338,1,3,431,431
15,2P,2,4,4,94795,645,337,1,4,392,392
15,2,2,1,1,100683,732,471,1,1,1249,1249
15,2,2,3,1,101755,741,463,0,1,1072,1072
15,2,2,4,2,102227,791,463,1,2,472,1544
15,2,2,5,3,103067,855,375,1,3,840,840
15,2,2,6,4,103787,935,463,1,4,720,720
15,2,2,7,5,105900,974,330,1,5,2113,2113
15,2,2,8,6,106539,965,220,1,6,639,639
15,2,2,9,6,107235,871,258,0,8,696,696
15,2,2,10,7,108675,862,181,1,7,1440,2136
15,2,2,11,8,109299,881,250,1,8,624,624
15,2,2,12,9,110243,797,270,1,9,944,944
15,2,2,13,10,112235,685,246,1,10,1992,1992
15,2,2,14,11,114083,623,173,1,11,1848,1848
15,2,2,15,12,114731,606,258,1,12,648,648
15,2,2,16,13,117691,572,306,1,13,2960,2960
15,2,2,17,13,119828,444,270,0,16,2137,2137
15,2,2,18,13,120579,422,270,0,16,751,2888
15,2,2,19,13,121980,585,406,0,18,1401,4289
15,2,2,20,13,122531,533,360,0,17,551,4840
15,2,2,21,13,125355,593,397,0,18,2824,7664
15,2,2,22,13,126315,575,471,0,20,960,8624
15,2,2,23,13,128131,562,306,0,13,1816,10440
15,2,2,24,13,130603,659,367,0,19,2472,12912
15,2,2,25,14,134988,338,175,1,14,4385,17297
15,2,2,26,15,136579,390,229,1,15,1591,1591
15,2,2,27,16,137123,414,264,1,16,544,544
15,2,2,28,17,138195,526,348,1,17,1072,1072
15,2,2,29,18,138723,578,406,1,18,528,528
15,2,2,30,18,139819,587,448,0,20,1096,1096
15,2,2,31,18,140339,587,466,0,20,520,1616
15,2,2,32,19,141003,653,371,1,19,664,2280
15,2,2,33,20,141675,587,458,1,20,672,672
15,2,2,34,20,142251,598,530,0,22,576,576
15,2,2,35,21,143195,454,495,1,21,944,1520
15,2,2,36,22,143723,610,519,1,22,528,528
15,2,2,37,22,146243,670,594,0,24,2520,2520
15,2,2,38,22,146675,672,594,0,24,432,2952
15,2,2,39,22,147147,733,584,0,26,472,3424
15,2,2,40,23,147803,586,631,1,23,656,4080
15,2,2,41,24,148251,679,611,1,24,448,448
15,2,2,42,24,148860,747,579,0,26,609,609
15,2,2,43,25,149964,811,624,1,25,1104,1713
15,2,2,44,26,150403,736,558,1,26,439,439
15,3P,1,1,1,156227,723,460,1,1,980,980
15,3P,1,2,1,157315,739,451,0,1,1088,1088
15,3P,1,3,2,157651,743,423,1,2,336,1424
15,3P,1,4,3,158723,718,345,1,3,1072,1072
15,3P,1,5,4,159227,633,343,1,4,504,504
15,3,1,1,1,164587,999,623,1,1,1265,1265
15,3,1,2,2,165187,1006,562,1,2,600,600
15,3,1,3,3,165579,1002,520,1,3,392,392
15,3,1,4,4,166395,774,494,1,4,816,816
15,3,1,5,5,167675,654,485,1,5,1280,1280
15,3,1,6,6,168027,673,411,1,6,352,352
15,3,1,8,7,168980,786,351,1,7,953,953
15,3,1,9,8,169651,1001,357,1,8,671,671
15,3,1,10,9,170131,1045,226,1,9,480,480
15,3,1,11,10,170723,950,242,1,10,592,592
15,3,1,12,11,171347,783,171,1,11,624,624
15,3,1,13,12,172107,737,289,1,12,760,760
15,3,1,14,13,172491,664,272,1,13,384,384
15,3,1,15,14,172996,598,306,1,14,505,505
15,3,1,16,15,173387,522,303,1,15,391,391
15,3,1,17,16,173940,546,147,1,16,553,553
15,3,1,18,17,174283,512,190,1,17,343,343
15,3,1,19,18,174691,479,187,1,18,408,408
15,3,1,20,19,175571,359,149,1,19,880,880
15,3,1,21,20,176123,468,405,1,20,552,552
15,3,1,22,21,176819,396,432,1,21,696,696
