sub,type,distance,studytime,totaltime,mediantime,targs,clicks,acc
15,1,230.021,2982,28703,2150.5,4,4,1
15,1,2551.72,1121,16768,616,26,28,0.928571
15,2,223.197,1580,1328,468,4,4,1
15,2,2719.87,1249,49720,1160.5,26,44,0.590909
15,1,240.582,980,3000,1026,4,5,0.8
15,1,2794.06,1265,14880,568.5,26,27,0.962963
15,2,443.872,981,3136,874.5,4,5,0.8
15,2,2771.38,1162,25456,823.5,26,32,0.8125
15,1,267.949,894,1712,484,4,5,0.8
15,1,2719.87,827,14767,527.5,26,29,0.896552
15,2,352.401,1006,2465,920,4,5,0.8
15,2,2757.57,1266,21280,632,26,29,0.896552
15,1,482.922,988,2720,952,4,6,0.666667
15,1,2771.38,1018,15416,599.5,26,27,0.962963
15,2,249.417,1076,1897,722.5,4,4,1
15,2,2551.72,1066,21777,732.5,26,28,0.928571
15,1,524.135,1190,2361,947.5,4,6,0.666667
15,1,2757.57,898,14224,556,26,26,1
15,2,329.059,1230,1824,728,4,5,0.8
15,2,2794.06,1034,24664,672,26,36,0.722222
