subnum,trial,type,clicks,hits,clicktime,posx,posy,corr,id,rt,rt2
4d,1P,1,1,0,22307,618,483,0,3,1,1
4d,1P,1,4,1,26939,644,394,1,1,4632,4633
4d,1P,1,5,2,28379,749,313,1,2,1440,1440
4d,1P,1,6,3,31187,640,477,1,3,2808,2808
4d,1P,1,7,4,31707,755,461,1,4,520,520
4d,1,1,1,0,38891,730,203,0,2,5336,5336
4d,1,1,2,1,39859,774,248,1,1,968,6304
4d,1,1,3,2,40715,729,207,1,2,856,856
4d,1,1,4,3,41979,747,160,1,3,1264,1264
4d,1,1,5,4,42763,694,139,1,4,784,784
4d,1,1,6,5,43379,623,214,1,5,616,616
4d,1,1,7,6,44499,476,174,1,6,1120,1120
4d,1,1,8,7,45643,348,180,1,7,1144,1144
4d,1,1,9,8,46571,535,251,1,8,928,928
4d,1,1,10,9,47292,549,354,1,9,721,721
4d,1,1,11,10,48195,587,448,1,10,903,903
4d,1,1,12,11,48859,514,425,1,11,664,664
4d,1,1,13,12,49659,376,463,1,12,800,800
4d,1,1,14,13,50291,404,560,1,13,632,632
4d,1,1,15,14,51003,411,605,1,14,712,712
4d,1,1,16,15,51907,606,642,1,15,904,904
4d,1,1,17,16,52723,660,616,1,16,816,816
4d,1,1,18,17,53147,658,590,1,17,424,424
4d,1,1,19,18,54947,798,526,1,18,1800,1800
4d,1,1,20,19,55531,840,600,1,19,584,584
4d,1,1,21,20,56443,1036,511,1,20,912,912
4d,1,1,22,21,57123,836,419,1,21,680,680
4d,1,1,23,22,57931,791,316,1,22,808,808
4d,1,1,24,23,58435,867,332,1,23,504,504
4d,1,1,25,24,59323,930,271,1,24,888,888
4d,1,1,26,25,59763,902,211,1,25,440,440
4d,1,1,28,26,60987,875,155,1,26,1224,1224
4d,2P,2,1,0,66715,608,402,0,3,4361,4361
4d,2P,2,2,0,67411,603,404,0,3,696,5057
4d,2P,2,3,1,68003,689,345,1,1,592,5649
4d,2P,2,4,1,68723,617,405,0,3,720,720
4d,2P,2,5,1,69547,610,404,0,3,824,1544
4d,2P,2,6,1,70339,693,346,0,1,792,2336
4d,2P,2,7,1,71035,601,405,0,3,696,3032
4d,2P,2,8,1,72147,627,303,0,4,1112,4144
4d,2P,2,9,1,72579,616,311,0,4,432,4576
4d,2P,2,10,1,73403,694,341,0,1,824,5400
4d,2P,2,11,2,74379,777,421,1,2,976,6376
4d,2P,2,12,3,79291,614,396,1,3,4912,4912
4d,2P,2,14,4,80043,612,316,1,4,752,752
4d,2,2,1,1,91259,664,324,1,1,3631,3631
4d,2,2,3,2,93499,799,275,1,2,2240,2240
4d,2,2,4,2,96451,792,290,0,2,2952,2952
4d,2,2,5,2,97747,658,318,0,1,1296,4248
4d,2,2,6,3,100140,885,325,1,3,2393,6641
4d,2,2,7,4,103411,984,309,1,4,3271,3271
4d,2,2,8,5,107211,942,424,1,5,3800,3800
4d,2,2,9,5,118331,961,584,0,7,11120,11120
4d,2,2,10,5,120387,803,423,0,11,2056,13176
4d,2,2,11,6,121867,941,489,1,6,1480,14656
4d,2,2,12,7,125379,960,583,1,7,3512,3512
4d,2,2,13,8,127787,948,632,1,8,2408,2408
4d,2,2,14,8,131643,897,513,0,10,3856,3856
4d,2,2,15,8,132155,896,514,0,10,512,4368
4d,2,2,16,8,132747,894,514,0,10,592,4960
4d,2,2,17,8,133203,874,514,0,10,456,5416
4d,2,2,18,9,134923,788,611,1,9,1720,7136
4d,2,2,19,10,135763,875,511,1,10,840,840
4d,2,2,20,10,138987,786,475,0,12,3224,3224
4d,2,2,21,10,139851,791,460,0,12,864,4088
4d,2,2,22,11,142883,812,422,1,11,3032,7120
4d,2,2,23,12,143611,803,463,1,12,728,728
4d,2,2,24,13,145579,728,502,1,13,1968,1968
4d,2,2,25,13,147315,579,490,0,16,1736,1736
4d,2,2,26,13,147867,579,452,0,17,552,2288
4d,2,2,27,13,148323,579,450,0,17,456,2744
4d,2,2,28,13,148715,579,433,0,17,392,3136
4d,2,2,29,14,149723,563,629,1,14,1008,4144
4d,2,2,30,15,151323,517,573,1,15,1600,1600
4d,2,2,31,16,152267,562,490,1,16,944,944
4d,2,2,32,17,153899,571,424,1,17,1632,1632
4d,2,2,33,18,154939,517,467,1,18,1040,1040
4d,2,2,34,19,155964,382,476,1,19,1025,1025
4d,2,2,35,20,156843,422,360,1,20,879,879
4d,2,2,36,20,158547,476,233,0,23,1704,1704
4d,2,2,37,21,159379,321,310,1,21,832,2536
4d,2,2,38,22,160019,388,285,1,22,640,640
4d,2,2,40,23,161084,476,233,1,23,1065,1065
4d,2,2,41,24,162331,696,177,1,24,1247,1247
4d,2,2,42,25,163227,739,169,1,25,896,896
4d,2,2,43,26,164059,729,241,1,26,832,832
4d,3P,1,1,0,168627,700,393,0,2,1904,1904
4d,3P,1,2,0,169260,696,400,0,2,633,2537
4d,3P,1,3,1,169899,756,400,1,1,639,3176
4d,3P,1,4,2,170499,703,403,1,2,600,600
4d,3P,1,5,2,171059,688,327,0,4,560,560
4d,3P,1,6,3,171883,590,328,1,3,824,1384
4d,3P,1,7,4,172571,699,318,1,4,688,688
4d,3,1,1,0,180691,325,146,0,2,2728,2728
4d,3,1,2,0,181339,332,146,0,2,648,3376
4d,3,1,3,1,182179,406,367,1,1,840,4216
4d,3,1,4,2,182851,337,160,1,2,672,672
4d,3,1,5,3,183379,379,178,1,3,528,528
4d,3,1,6,4,184995,548,343,1,4,1616,1616
4d,3,1,7,5,185859,682,332,1,5,864,864
4d,3,1,8,6,187211,745,411,1,6,1352,1352
4d,3,1,9,7,189700,817,596,1,7,2489,2489
4d,3,1,10,8,190155,850,543,1,8,455,455
4d,3,1,11,9,191123,903,606,1,9,968,968
4d,3,1,12,10,191499,979,622,1,10,376,376
4d,3,1,13,11,192491,836,434,1,11,992,992
4d,3,1,14,12,193068,809,342,1,12,577,577
4d,3,1,15,13,193619,906,276,1,13,551,551
4d,3,1,16,14,194251,982,367,1,14,632,632
4d,3,1,17,15,194811,1002,268,1,15,560,560
4d,3,1,18,16,195635,961,161,1,16,824,824
4d,3,1,19,17,196595,827,137,1,17,960,960
4d,3,1,20,18,197059,774,173,1,18,464,464
4d,3,1,21,19,197723,668,230,1,19,664,664
4d,3,1,22,20,198179,593,199,1,20,456,456
4d,3,1,23,21,199699,591,474,1,21,1520,1520
4d,3,1,25,22,200563,621,544,1,22,864,864
4d,3,1,26,23,201003,567,549,1,23,440,440
4d,3,1,27,24,201427,515,574,1,24,424,424
4d,3,1,28,25,202115,454,489,1,25,688,688
4d,3,1,29,26,202483,403,554,1,26,368,368
4d,4P,2,1,1,210459,771,431,1,1,4792,4792
4d,4P,2,2,2,211419,586,324,1,2,960,960
4d,4P,2,3,3,212371,666,333,1,3,952,952
4d,4P,2,4,4,213003,683,422,1,4,632,632
4d,4,2,1,1,220875,628,562,1,1,2616,2616
4d,4,2,2,2,221547,838,606,1,2,672,672
4d,4,2,3,3,222491,864,483,1,3,944,944
4d,4,2,4,4,223179,910,553,1,4,688,688
4d,4,2,5,5,224043,983,572,1,5,864,864
4d,4,2,6,6,224723,994,367,1,6,680,680
4d,4,2,7,7,226347,1029,160,1,7,1624,1624
4d,4,2,8,8,226899,956,205,1,8,552,552
4d,4,2,9,9,229891,874,219,1,9,2992,2992
4d,4,2,10,10,230603,836,233,1,10,712,712
4d,4,2,11,11,231531,787,204,1,11,928,928
4d,4,2,12,12,234843,742,263,1,12,3312,3312
4d,4,2,13,12,235715,701,361,0,14,872,872
4d,4,2,14,13,237779,769,346,1,13,2064,2936
4d,4,2,15,14,238267,722,350,1,14,488,488
4d,4,2,16,15,238747,656,289,1,15,480,480
4d,4,2,17,15,241883,538,410,0,18,3136,3136
4d,4,2,18,15,242507,548,352,0,17,624,3760
4d,4,2,20,15,243411,541,326,0,17,904,4664
4d,4,2,21,15,244915,547,337,0,17,1504,6168
4d,4,2,22,16,245643,527,198,1,16,728,6896
4d,4,2,23,17,247163,539,342,1,17,1520,1520
4d,4,2,24,18,248563,535,397,1,18,1400,1400
4d,4,2,25,19,250523,493,401,1,19,1960,1960
4d,4,2,26,20,251243,457,362,1,20,720,720
4d,4,2,27,21,252251,407,301,1,21,1008,1008
4d,4,2,28,22,253323,342,447,1,22,1072,1072
4d,4,2,30,23,254515,447,483,1,23,1192,1192
4d,4,2,31,23,255339,485,534,0,25,824,824
4d,4,2,33,24,256443,434,603,1,24,1104,1928
4d,4,2,34,24,257163,543,606,0,26,720,720
4d,4,2,35,25,257947,498,550,1,25,784,1504
4d,4,2,36,26,258515,552,591,1,26,568,568
4d,5P,1,1,0,264867,646,377,0,2,2920,2920
4d,5P,1,2,0,265404,644,380,0,2,537,3457
4d,5P,1,4,1,266379,710,340,1,1,975,4432
4d,5P,1,5,2,267091,645,377,1,2,712,712
4d,5P,1,6,3,267435,645,324,1,3,344,344
4d,5P,1,7,4,267819,747,302,1,4,384,384
4d,5,1,1,1,276972,852,304,1,1,1290,1290
4d,5,1,2,1,278132,846,299,0,1,1160,1160
4d,5,1,3,2,279187,656,285,1,2,1055,2215
