sub,type,distance,studytime,totaltime,mediantime,targs,clicks,acc
4d,1,444.004,1,9400,2124,4,7,0.571429
4d,1,2789.65,5336,22096,812,26,28,0.928571
4d,2,360.215,4362,13328,5280.5,4,14,0.285714
4d,2,2608.98,3631,72800,1800,26,43,0.604651
4d,1,277.574,1904,3944,1036,4,7,0.571429
4d,1,2920.59,2728,21792,668,26,29,0.896552
4d,2,373.747,4792,2544,956,4,4,1
4d,2,2568.8,2616,37640,1040,26,36,0.722222
4d,1,238.702,2920,2952,548,4,7,0.571429
4d,1,2693.96,1290,18679,572,26,30,0.866667
4d,2,440.601,1296,3736,764,4,7,0.571429
4d,2,2693.96,1914,27528,872,26,30,0.866667
4d,1,344.334,1520,8208,2360,4,12,0.333333
4d,1,2568.8,1290,16888,624,26,32,0.8125
4d,2,370.986,1240,3512,912,4,6,0.666667
4d,2,2789.65,1639,18272,672,26,28,0.928571
4d,1,385.185,2208,2728,476,4,6,0.666667
4d,1,2608.98,617,15840,524,26,31,0.83871
4d,2,430.407,992,8752,2364,4,16,0.25
4d,2,2920.59,1314,34968,636,26,43,0.604651
