subnum,trial,type,clicks,hits,clicktime,posx,posy,corr,id,rt,rt2
15,1P,1,2,1,9305,680,326,1,1,3973,3973
15,1P,1,3,1,15361,689,324,0,1,6056,6056
15,1P,1,5,2,37377,775,374,1,2,22016,28072
15,1P,1,6,3,38353,606,317,1,3,976,976
15,1P,1,7,4,38778,616,405,1,4,425,425
15,1,1,1,1,53954,585,562,1,1,5304,5304
15,1,1,2,2,57073,643,460,1,2,3119,3119
15,1,1,3,3,58529,682,396,1,3,1456,1456
15,1,1,4,4,59481,586,423,1,4,952,952
15,1,1,5,5,60361,529,413,1,5,880,880
15,1,1,6,6,61321,466,495,1,6,960,960
15,1,1,7,7,62409,370,495,1,7,1088,1088
15,1,1,8,8,63185,526,307,1,8,776,776
15,1,1,9,9,63946,370,311,1,9,761,761
15,1,1,10,10,64634,329,154,1,10,688,688
15,1,1,11,11,65401,550,151,1,11,767,767
15,1,1,12,12,66345,658,180,1,12,944,944
15,1,1,13,13,66922,700,277,1,13,577,577
15,1,1,14,14,67521,756,258,1,14,599,599
15,1,1,15,15,68401,962,157,1,15,880,880
15,1,1,16,16,68898,989,223,1,16,497,497
15,1,1,17,17,69489,933,268,1,17,591,591
15,1,1,18,18,70177,948,353,1,18,688,688
15,1,1,19,19,70954,908,386,1,19,777,777
15,1,1,20,20,72169,999,585,1,20,1215,1215
15,1,1,21,21,72970,809,608,1,21,801,801
15,1,1,22,22,73762,784,499,1,22,792,792
15,1,1,23,23,74786,797,373,1,23,1024,1024
15,1,1,24,24,76281,761,447,1,24,1495,1495
15,1,1,25,25,76962,748,553,1,25,681,681
15,1,1,26,26,77457,674,610,1,26,495,495
15,2P,2,1,1,80425,667,430,1,1,1749,1749
15,2P,2,2,2,81001,750,451,1,2,576,576
15,2P,2,3,3,82690,587,326,1,3,1689,1689
15,2P,2,4,4,84770,687,356,1,4,2080,2080
15,2,2,1,1,91265,780,566,1,1,3193,3193
15,2,2,2,2,92433,716,456,1,2,1168,1168
15,2,2,3,3,93369,696,399,1,3,936,936
15,2,2,4,4,94097,783,440,1,4,728,728
15,2,2,5,5,95858,846,425,1,5,1761,1761
15,2,2,6,6,96585,898,510,1,6,727,727
15,2,2,7,7,98666,994,512,1,7,2081,2081
15,2,2,8,8,99345,847,317,1,8,679,679
15,2,2,9,9,103337,967,310,1,9,3992,3992
15,2,2,10,10,104057,1032,139,1,10,720,720
15,2,2,11,11,106185,816,152,1,11,2128,2128
15,2,2,12,12,107001,701,174,1,12,816,816
15,2,2,13,13,110954,663,257,1,13,3953,3953
15,2,2,14,14,111890,609,260,1,14,936,936
15,2,2,15,15,113065,411,154,1,15,1175,1175
15,2,2,16,16,113674,368,224,1,16,609,609
15,2,2,17,17,114433,425,290,1,17,759,759
15,2,2,18,18,115169,414,352,1,18,736,736
15,2,2,19,19,116489,450,417,1,19,1320,1320
15,2,2,20,20,117481,364,580,1,20,992,992
15,2,2,21,21,119794,551,603,1,21,2313,2313
15,2,2,22,22,120409,584,508,1,22,615,615
15,2,2,23,23,122946,570,386,1,23,2537,2537
15,2,2,24,24,123569,616,451,1,24,623,623
15,2,2,25,25,125561,620,550,1,25,1992,1992
15,2,2,26,26,126417,703,626,1,26,856,856
15,3P,1,1,1,129794,741,281,1,1,2046,2046
15,3P,1,2,2,130914,742,345,1,2,1120,1120
15,3P,1,3,3,131626,626,410,1,3,712,712
15,3P,1,4,4,132113,665,310,1,4,487,487
15,3,1,1,1,137241,859,614,1,1,1737,1737
15,3,1,2,2,138185,793,561,1,2,944,944
15,3,1,3,3,139081,692,582,1,3,896,896
15,3,1,4,4,139898,607,583,1,4,817,817
15,3,1,5,5,140569,538,596,1,5,671,671
15,3,1,6,6,142233,583,453,1,6,1664,1664
15,3,1,7,7,142906,534,451,1,7,673,673
15,3,1,8,8,143473,475,496,1,8,567,567
15,3,1,9,9,144073,357,543,1,9,600,600
15,3,1,10,10,144778,472,393,1,10,705,705
15,3,1,11,11,145489,424,359,1,11,711,711
15,3,1,12,12,146041,412,229,1,12,552,552
15,3,1,13,13,146722,367,150,1,13,681,681
15,3,1,14,14,147818,624,262,1,14,1096,1096
15,3,1,15,15,148457,649,347,1,15,639,639
15,3,1,16,16,149137,716,323,1,16,680,680
15,3,1,17,17,151970,773,435,1,17,2833,2833
15,3,1,18,18,152577,784,338,1,18,607,607
