sub,type,distance,studytime,totaltime,mediantime,targs,clicks,acc
15,1,372.689,2877,30569,2474.5,4,7,0.571429
15,1,2912.1,5304,23503,796.5,26,26,1
15,2,352.368,1749,4345,1719,4,4,1
15,2,2912.1,3193,35152,964,26,26,1
15,1,320.85,2046,2319,916,4,4,1
15,1,2808.47,1737,22216,711.5,26,26,1
15,2,255.804,1062,7848,2024,4,6,0.666667
15,2,2808.47,1568,38016,1044.5,26,26,1
15,1,463.133,2331,7296,2305.5,4,4,1
15,1,2658.07,1882,29008,825,26,27,0.962963
15,2,366.714,1277,6777,1786,4,5,0.8
15,2,2641.39,1697,51976,1633,26,26,1
15,1,272.722,1310,2089,776,4,4,1
15,1,2641.39,1233,17632,659,26,26,1
15,2,357.394,1518,3216,1284,4,5,0.8
15,2,2460.18,1129,42272,888,26,26,1
15,1,235.97,1038,2256,867.5,4,4,1
15,1,2460.18,1194,24407,936,26,27,0.962963
15,2,316.185,8334,4241,1468,4,4,1
15,2,2658.07,1073,32471,892,26,26,1
