subnum,direction,type,trialnum,order,trialstart,itemstart,itemend,abstime,rt,posx,posy
20,1,P,-1,1,119574,120655,1081,1080,1,803,495
20,1,P,-1,2,119574,121599,2025,693,3,953,390
20,1,P,-1,3,119574,122183,2609,334,5,833,300
20,1,P,-2,1,129897,136127,6230,6229,1,803,495
20,1,P,-2,2,129897,136969,7072,591,3,953,390
20,1,P,-2,3,129897,137383,7486,164,5,833,300
20,1,P,-2,4,129897,138351,8454,718,6,998,210
20,1,P,-3,1,145339,146743,1404,1404,6,998,210
20,1,P,-3,2,145339,147678,2339,685,7,458,180
20,1,P,-3,3,145339,148247,2908,318,9,818,120
20,1,T,1,1,158893,160191,1298,1298,8,638,90
20,1,T,1,2,158893,160782,1889,341,5,833,300
20,1,T,2,1,166010,166896,886,886,6,998,210
20,1,T,2,2,166010,167543,1533,397,4,623,360
20,1,T,3,1,173618,174359,741,741,4,623,360
20,1,T,3,2,173618,174999,1381,389,7,458,180
20,1,T,3,3,173618,175455,1837,205,2,503,465
20,1,T,4,1,182385,183334,949,949,8,638,90
20,1,T,4,2,182385,184103,1718,518,1,803,495
20,1,T,4,3,182385,184751,2366,398,5,833,300
20,1,T,5,1,191984,192991,1007,1007,3,953,390
20,1,T,5,2,191984,193503,1519,261,4,623,360
20,1,T,5,3,191984,193944,1960,191,1,803,495
20,1,T,5,4,191984,194494,2510,299,7,458,180
20,1,T,6,1,201745,203119,1374,1374,6,998,210
20,1,T,6,2,201745,203751,2006,381,1,803,495
20,1,T,6,3,201745,204479,2734,477,5,833,300
20,1,T,6,4,201745,204967,3222,238,8,638,90
20,1,T,7,1,214914,215936,1022,1022,5,833,300
20,1,T,7,2,214914,216952,2038,765,2,503,465
20,1,T,7,3,214914,217470,2556,267,1,803,495
20,1,T,7,4,214914,218279,3365,558,8,638,90
20,1,T,7,5,214914,218814,3900,285,6,998,210
20,1,T,8,1,227482,228215,733,733,4,623,360
20,1,T,8,2,227482,228679,1197,213,2,503,465
20,1,T,8,3,227482,229287,1805,358,7,458,180
20,1,T,8,4,227482,229968,2486,431,3,953,390
20,1,T,8,5,227482,230376,2894,158,1,803,495
20,1,T,9,1,240010,241263,1253,1253,9,818,120
20,1,T,9,2,240010,242207,2197,694,3,953,390
20,1,T,9,3,240010,244399,4389,1941,4,623,360
20,1,T,9,4,240010,245479,5469,829,2,503,465
20,1,T,9,5,240010,246166,6156,437,8,638,90
20,1,T,9,6,240010,246646,6636,229,7,458,180
20,1,T,10,1,256377,257207,830,830,3,953,390
20,1,T,10,2,256377,258455,2078,997,8,638,90
20,1,T,10,3,256377,258992,2615,287,7,458,180
20,1,T,10,4,256377,259631,3254,389,2,503,465
20,1,T,10,5,256377,260519,4142,636,4,623,360
20,1,T,10,6,256377,262015,5638,1246,9,818,120
