subnum,trial,type,clicks,hits,clicktime,posx,posy,corr,id,rt,rt2
31,1P,1,1,1,55744,591,379,1,1,2172,2172
31,1P,1,2,2,56808,730,426,1,2,1064,1064
31,1P,1,3,3,58080,751,293,1,3,1272,1272
31,1P,1,4,4,58888,703,346,1,4,808,808
31,1,1,1,1,64168,360,413,1,1,1325,1325
31,1,1,2,2,65352,361,356,1,2,1184,1184
31,1,1,3,3,66272,349,250,1,3,920,920
31,1,1,4,4,67248,440,174,1,4,976,976
31,1,1,5,5,68000,434,237,1,5,752,752
31,1,1,6,6,69168,574,372,1,6,1168,1168
31,1,1,7,7,70376,625,237,1,7,1208,1208
31,1,1,8,8,71144,698,249,1,8,768,768
31,1,1,9,9,72000,729,300,1,9,856,856
31,1,1,10,10,73056,773,364,1,10,1056,1056
31,1,1,11,11,74120,837,385,1,11,1064,1064
31,1,1,12,12,75240,787,158,1,12,1120,1120
31,1,1,13,13,76040,974,137,1,13,800,800
31,1,1,14,14,76984,903,253,1,14,944,944
31,1,1,15,15,77592,917,303,1,15,608,608
31,1,1,16,16,78193,986,315,1,16,601,601
31,1,1,17,17,78872,998,411,1,17,679,679
31,1,1,18,18,79632,997,474,1,18,760,760
31,1,1,19,19,80400,970,628,1,19,768,768
31,1,1,20,20,81392,839,538,1,20,992,992
31,1,1,21,21,82440,710,595,1,21,1048,1048
31,1,1,22,22,83321,655,629,1,22,881,881
31,1,1,23,23,84168,591,515,1,23,847,847
31,1,1,24,24,85136,562,614,1,24,968,968
31,1,1,25,25,86160,442,578,1,25,1024,1024
31,1,1,26,26,87088,366,554,1,26,928,928
31,2P,2,1,1,93728,619,465,1,1,3671,3671
31,2P,2,2,2,95160,684,309,1,2,1432,1432
31,2P,2,3,3,97488,776,336,1,3,2328,2328
31,2P,2,4,4,98416,676,486,1,4,928,928
31,2,2,1,1,102176,617,232,1,1,2015,2015
31,2,2,2,2,103064,644,317,1,2,888,888
31,2,2,3,3,105464,697,206,1,3,2400,2400
31,2,2,4,4,106824,755,256,1,4,1360,1360
31,2,2,5,5,108432,911,268,1,5,1608,1608
31,2,2,6,6,109568,1005,292,1,6,1136,1136
31,2,2,7,7,110616,873,387,1,7,1048,1048
31,2,2,8,8,111464,753,425,1,8,848,848
31,2,2,9,9,112672,842,475,1,9,1208,1208
31,2,2,10,10,113985,986,597,1,10,1313,1313
31,2,2,11,11,115712,926,585,1,11,1727,1727
31,2,2,12,12,118464,770,533,1,12,2752,2752
31,2,2,13,13,120833,753,499,1,13,2369,2369
31,2,2,14,14,121865,721,568,1,14,1032,1032
31,2,2,15,14,123056,596,400,0,16,1191,1191
31,2,2,16,14,124600,593,410,0,16,1544,2735
31,2,2,17,14,127544,596,407,0,16,2944,5679
31,2,2,18,14,128520,593,396,0,16,976,6655
31,2,2,19,14,130392,592,415,0,16,1872,8527
31,2,2,20,15,149944,637,472,1,15,19552,28079
31,2,2,21,16,151048,607,402,1,16,1104,1104
31,2,2,22,17,152472,533,489,1,17,1424,1424
31,2,2,23,18,153625,497,603,1,18,1153,1153
31,2,2,24,19,155168,368,537,1,19,1543,1543
31,2,2,25,20,158152,390,477,1,20,2984,2984
31,2,2,26,21,159240,424,434,1,21,1088,1088
31,2,2,27,22,160648,374,305,1,22,1408,1408
31,2,2,28,22,161865,413,230,0,24,1217,1217
31,2,2,29,22,162576,433,222,0,24,711,1928
31,2,2,30,23,164417,461,291,1,23,1841,3769
31,2,2,31,24,165688,431,227,1,24,1271,1271
31,2,2,32,24,167640,622,166,0,26,1952,1952
31,2,2,33,25,169472,510,184,1,25,1832,3784
31,2,2,34,26,170256,619,168,1,26,784,784
31,3P,1,1,1,173376,674,372,1,1,1887,1887
31,3P,1,2,2,174105,737,362,1,2,729,729
31,3P,1,3,3,175304,592,384,1,3,1199,1199
31,3P,1,4,4,176048,650,452,1,4,744,744
31,3,1,1,1,180392,742,231,1,1,2295,2295
31,3,1,2,2,181160,719,317,1,2,768,768
31,3,1,3,3,182112,677,192,1,3,952,952
31,3,1,4,4,182920,616,256,1,4,808,808
31,3,1,5,5,183945,452,264,1,5,1025,1025
31,3,1,6,6,184704,364,282,1,6,759,759
31,3,1,7,7,185577,477,370,1,7,873,873
31,3,1,8,8,186600,603,425,1,8,1023,1023
31,3,1,9,9,187464,509,475,1,9,864,864
31,3,1,11,10,189257,374,602,1,10,1793,1793
31,3,1,12,11,190064,424,577,1,11,807,807
31,3,1,13,12,191296,581,538,1,12,1232,1232
31,3,1,14,13,192080,610,499,1,13,784,784
31,3,1,15,14,192889,635,566,1,14,809,809
31,3,1,16,15,193968,731,471,1,15,1079,1079
31,3,1,17,16,194976,774,392,1,16,1008,1008
31,3,1,18,17,195824,805,486,1,17,848,848
31,3,1,19,18,197376,877,604,1,18,1552,1552
31,3,1,20,19,198544,985,543,1,19,1168,1168
31,3,1,21,20,199353,967,472,1,20,809,809
31,3,1,22,21,200440,916,419,1,21,1087,1087
31,3,1,23,22,201432,999,293,1,22,992,992
31,3,1,24,23,202296,887,296,1,23,864,864
31,3,1,25,24,203104,924,228,1,24,808,808
31,3,1,26,25,203912,843,188,1,25,808,808
31,3,1,27,26,204848,762,163,1,26,936,936
31,4P,2,2,0,212073,715,310,0,2,3528,3528
31,4P,2,3,1,213224,754,323,1,1,1151,4679
31,4P,2,4,2,213984,708,314,1,2,760,760
31,4P,2,5,3,215288,598,365,1,3,1304,1304
31,4P,2,6,4,216305,755,413,1,4,1017,1017
31,4,2,1,1,219408,999,415,1,1,1504,1504
31,4,2,2,2,220168,1019,337,1,2,760,760
31,4,2,3,3,221016,1001,264,1,3,848,848
31,4,2,4,4,221736,923,178,1,4,720,720
31,4,2,5,5,222504,920,240,1,5,768,768
31,4,2,6,6,223952,799,359,1,6,1448,1448
31,4,2,7,7,225640,733,228,1,7,1688,1688
31,4,2,8,8,226344,676,248,1,8,704,704
31,4,2,9,9,227136,631,300,1,9,792,792
31,4,2,10,10,227808,602,366,1,10,672,672
31,4,2,11,11,228616,521,389,1,11,808,808
31,4,2,12,12,229704,567,157,1,12,1088,1088
31,4,2,13,13,230768,374,124,1,13,1064,1064
31,4,2,14,14,231840,467,257,1,14,1072,1072
31,4,2,15,15,233312,439,305,1,15,1472,1472
31,4,2,16,16,234264,366,319,1,16,952,952
31,4,2,17,17,234961,354,412,1,17,697,697
31,4,2,18,18,235712,366,481,1,18,751,751
31,4,2,19,19,236520,404,629,1,19,808,808
31,4,2,20,20,237880,506,549,1,20,1360,1360
31,4,2,21,21,238872,654,596,1,21,992,992
31,4,2,22,22,239673,719,630,1,22,801,801
31,4,2,23,23,240944,740,521,1,23,1271,1271
31,4,2,24,24,241848,824,608,1,24,904,904
31,4,2,25,25,243280,916,582,1,25,1432,1432
31,4,2,26,26,244080,997,558,1,26,800,800
31,5P,1,2,1,247513,717,450,1,1,2008,2008
31,5P,1,3,2,248480,576,421,1,2,967,967
31,5P,1,4,3,249424,699,402,1,3,944,944
31,5P,1,5,4,250216,752,360,1,4,792,792
31,5,1,1,1,256888,479,166,1,1,3069,3069
31,5,1,2,2,258049,587,285,1,2,1161,1161
31,5,1,3,3,258785,602,351,1,3,736,736
31,5,1,4,4,259712,685,318,1,4,927,927
31,5,1,5,5,260576,765,333,1,5,864,864
31,5,1,6,6,261576,724,195,1,6,1000,1000
31,5,1,7,7,262344,887,197,1,7,768,768
31,5,1,8,8,263112,846,297,1,8,768,768
31,5,1,9,9,264032,885,344,1,9,920,920
31,5,1,10,10,264585,853,398,1,10,553,553
31,5,1,11,11,265312,912,430,1,11,727,727
31,5,1,12,12,266528,994,378,1,12,1216,1216
31,5,1,13,13,267104,996,565,1,13,576,576
31,5,1,14,14,267872,956,584,1,14,768,768
31,5,1,15,15,268928,700,435,1,15,1056,1056
31,5,1,16,16,269648,679,517,1,16,720,720
31,5,1,17,17,270456,623,602,1,17,808,808
31,5,1,18,18,271256,590,484,1,18,800,800
31,5,1,19,19,272472,489,402,1,19,1216,1216
31,5,1,20,20,273128,441,456,1,20,656,656
31,5,1,21,21,273881,422,523,1,21,753,753
31,5,1,22,22,274600,387,460,1,22,719,719
31,5,1,23,23,275512,426,356,1,23,912,912
31,5,1,24,24,276249,360,324,1,24,737,737
31,5,1,25,25,276936,392,238,1,25,687,687
31,5,1,26,26,277656,367,148,1,26,720,720
31,6P,2,1,1,280225,684,450,1,1,1408,1408
31,6P,2,2,2,283536,724,305,1,2,3311,3311
31,6P,2,3,3,284728,638,418,1,3,1192,1192
31,6P,2,4,4,285728,759,415,1,4,1000,1000
31,6,2,1,1,288544,591,578,1,1,1424,1424
31,6,2,2,2,289464,597,470,1,2,920,920
31,6,2,3,3,290392,626,423,1,3,928,928
31,6,2,4,4,291313,688,532,1,4,921,921
31,6,2,5,5,292408,792,457,1,5,1095,1095
31,6,2,6,6,293369,904,520,1,6,961,961
31,6,2,7,7,294168,1031,523,1,7,799,799
31,6,2,8,8,294833,1006,366,1,8,665,665
31,6,2,9,9,295816,911,365,1,9,983,983
31,6,2,10,10,296752,970,208,1,10,936,936
31,6,2,11,11,297632,942,146,1,11,880,880
31,6,2,12,12,298736,834,221,1,12,1104,1104
31,6,2,13,13,301265,780,289,1,13,2529,2529
31,6,2,14,14,303985,711,359,1,14,2720,2720
31,6,2,15,15,306144,656,175,1,15,2159,2159
31,6,2,16,16,307064,573,182,1,16,920,920
31,6,2,17,17,310897,518,138,1,17,3833,3833
31,6,2,18,18,311897,382,199,1,18,1000,1000
31,6,2,19,19,313536,328,303,1,19,1639,1639
31,6,2,20,20,314592,422,387,1,20,1056,1056
31,6,2,21,21,315392,469,345,1,21,800,800
31,6,2,22,22,316672,600,324,1,22,1280,1280
31,6,2,23,23,317896,565,393,1,23,1224,1224
31,6,2,24,24,318984,511,426,1,24,1088,1088
